slug,day_type,strike_confidence,crossings_total,crossings_first_5m,crossings_last_5m,crossings_last_3m,crossings_last_2m,crossings_last_1m,resolution
btc-updown-15m-1785135600,weekday,LOW_PROXY,5,2,3,1,1,1,lower-bound at 1-minute resolution
btc-updown-15m-1785157200,weekday,LOW_PROXY,2,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785243600,weekday,LOW_PROXY,2,1,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785265200,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785286800,weekday,LOW_PROXY,4,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785351600,weekday,LOW_PROXY,2,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785373200,weekday,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785394800,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785416400,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785459600,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785481200,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785524400,weekday,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785562200,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785573000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785583800,weekend,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785594600,weekend,LOW_PROXY,1,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785605400,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785627000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785648600,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785670200,weekend,LOW_PROXY,2,1,1,1,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785691800,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785702600,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785713400,weekend,LOW_PROXY,1,1,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785724200,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785762000,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785783600,weekday,LOW_PROXY,2,0,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785805200,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785826800,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785870000,weekday,LOW_PROXY,3,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785913200,weekday,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785934800,weekday,LOW_PROXY,2,3,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785978000,weekday,LOW_PROXY,2,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1785999600,weekday,LOW_PROXY,1,0,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786021200,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786107600,weekday,LOW_PROXY,2,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786129200,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786150800,weekday,LOW_PROXY,1,0,1,1,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786167000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786177800,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786188600,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786210200,weekend,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786221000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786231800,weekend,LOW_PROXY,1,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786242600,weekend,LOW_PROXY,2,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786253400,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786275000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786285800,weekend,LOW_PROXY,1,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786296600,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786318200,weekend,LOW_PROXY,2,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786329000,weekend,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786388400,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786410000,weekday,LOW_PROXY,1,1,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786431600,weekday,LOW_PROXY,0,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786453200,weekday,LOW_PROXY,2,1,1,1,1,0,lower-bound at 1-minute resolution
btc-updown-15m-1786496400,weekday,LOW_PROXY,6,1,2,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786518000,weekday,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786561200,weekday,LOW_PROXY,1,1,1,1,1,1,lower-bound at 1-minute resolution
btc-updown-15m-1786626000,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786647600,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786669200,weekday,LOW_PROXY,2,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786690800,weekday,LOW_PROXY,1,1,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786734000,weekday,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786771800,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786782600,weekend,LOW_PROXY,1,2,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786793400,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786804200,weekend,LOW_PROXY,1,1,1,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786815000,weekend,LOW_PROXY,0,0,0,0,0,0,lower-bound at 1-minute resolution
btc-updown-15m-1786825800,weekend,LOW_PROXY,1,0,1,1,1,1,lower-bound at 1-minute resolution
btc-updown-15m-1786858200,weekend,LOW_PROXY,2,0,1,1,1,1,lower-bound at 1-minute resolution
