slug,gamma_metadata_status,gamma_winner_status,public_trade_fetch_status,public_price_history_status,public_trade_rows,gamma_official_strike_available,local_chainlink_strike_available,reconstructed_strike_available,selected_strike_source,selected_strike_confidence,btc_candles_market_window,lifecycle_points_available,excluded_from_distance_analysis,exclusion_reason
btc-updown-15m-1785135600,success,resolved,success,empty,1297,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785157200,success,resolved,success,empty,1054,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785243600,success,resolved,success,empty,957,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785265200,success,resolved,success,empty,970,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785286800,success,resolved,success,empty,915,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785351600,success,resolved,success,empty,804,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785373200,success,resolved,success,empty,886,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785394800,success,resolved,success,empty,737,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785416400,success,resolved,success,empty,900,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785459600,success,resolved,success,empty,464,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785481200,success,resolved,success,empty,782,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785524400,success,resolved,success,empty,812,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785562200,success,resolved,success,empty,693,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785573000,success,resolved,success,empty,836,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785583800,success,resolved,success,empty,853,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785594600,success,resolved,success,empty,790,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785605400,success,resolved,success,empty,1468,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785627000,success,resolved,success,empty,798,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785648600,success,resolved,success,empty,608,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785670200,success,resolved,success,empty,1149,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785691800,success,resolved,success,empty,848,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785702600,success,resolved,success,empty,665,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785713400,success,resolved,success,empty,989,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785724200,success,resolved,success,empty,590,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785762000,success,resolved,success,empty,806,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785783600,success,resolved,success,empty,919,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785805200,success,resolved,success,empty,746,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785826800,success,resolved,success,empty,668,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785870000,success,resolved,success,empty,1029,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785913200,success,resolved,success,success,797,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
btc-updown-15m-1785934800,success,resolved,success,success,536,False,False,True,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,15,9,False,
