lifecycle_time,day_type,strike_confidence,distance_bucket,n,leader_accuracy,flip_after_time_rate
T+3m,weekday,ALL,<1bps,12,0.8333333333333334,0.16666666666666666
T+3m,weekday,ALL,1-2bps,7,0.5714285714285714,0.42857142857142855
T+3m,weekday,ALL,2-5bps,34,0.6176470588235294,0.38235294117647056
T+3m,weekday,ALL,5-10bps,23,0.7391304347826086,0.2608695652173913
T+3m,weekday,ALL,>10bps,24,0.8333333333333334,0.16666666666666666
T+3m,weekend,ALL,<1bps,29,0.5172413793103449,0.4827586206896552
T+3m,weekend,ALL,1-2bps,13,0.6923076923076923,0.3076923076923077
T+3m,weekend,ALL,2-5bps,24,0.7916666666666666,0.20833333333333334
T+3m,weekend,ALL,5-10bps,17,0.8235294117647058,0.17647058823529413
T+3m,weekend,ALL,>10bps,11,0.5454545454545454,0.45454545454545453
T+3m,weekday,HIGH,<1bps,0,,
T+3m,weekday,HIGH,1-2bps,0,,
T+3m,weekday,HIGH,2-5bps,3,0.6666666666666666,0.3333333333333333
T+3m,weekday,HIGH,5-10bps,1,1.0,0.0
T+3m,weekday,HIGH,>10bps,2,0.5,0.5
T+3m,weekend,HIGH,<1bps,0,,
T+3m,weekend,HIGH,1-2bps,0,,
T+3m,weekend,HIGH,2-5bps,0,,
T+3m,weekend,HIGH,5-10bps,0,,
T+3m,weekend,HIGH,>10bps,0,,
T+3m,weekday,LOW_PROXY,<1bps,12,0.8333333333333334,0.16666666666666666
T+3m,weekday,LOW_PROXY,1-2bps,7,0.5714285714285714,0.42857142857142855
T+3m,weekday,LOW_PROXY,2-5bps,31,0.6129032258064516,0.3870967741935484
T+3m,weekday,LOW_PROXY,5-10bps,22,0.7272727272727273,0.2727272727272727
T+3m,weekday,LOW_PROXY,>10bps,22,0.8636363636363636,0.13636363636363635
T+3m,weekend,LOW_PROXY,<1bps,29,0.5172413793103449,0.4827586206896552
T+3m,weekend,LOW_PROXY,1-2bps,13,0.6923076923076923,0.3076923076923077
T+3m,weekend,LOW_PROXY,2-5bps,24,0.7916666666666666,0.20833333333333334
T+3m,weekend,LOW_PROXY,5-10bps,17,0.8235294117647058,0.17647058823529413
T+3m,weekend,LOW_PROXY,>10bps,11,0.5454545454545454,0.45454545454545453
T+5m,weekday,ALL,<1bps,10,0.5,0.5
T+5m,weekday,ALL,1-2bps,5,0.4,0.6
T+5m,weekday,ALL,2-5bps,22,0.6363636363636364,0.36363636363636365
T+5m,weekday,ALL,5-10bps,29,0.7586206896551724,0.2413793103448276
T+5m,weekday,ALL,>10bps,34,0.7941176470588235,0.20588235294117646
T+5m,weekend,ALL,<1bps,26,0.6923076923076923,0.3076923076923077
T+5m,weekend,ALL,1-2bps,13,0.7692307692307693,0.23076923076923078
T+5m,weekend,ALL,2-5bps,26,0.6538461538461539,0.34615384615384615
T+5m,weekend,ALL,5-10bps,22,0.7272727272727273,0.2727272727272727
T+5m,weekend,ALL,>10bps,11,0.7272727272727273,0.2727272727272727
T+5m,weekday,HIGH,<1bps,1,1.0,0.0
T+5m,weekday,HIGH,1-2bps,0,,
T+5m,weekday,HIGH,2-5bps,1,0.0,1.0
T+5m,weekday,HIGH,5-10bps,1,0.0,1.0
T+5m,weekday,HIGH,>10bps,3,0.6666666666666666,0.3333333333333333
T+5m,weekend,HIGH,<1bps,0,,
T+5m,weekend,HIGH,1-2bps,0,,
T+5m,weekend,HIGH,2-5bps,0,,
T+5m,weekend,HIGH,5-10bps,0,,
T+5m,weekend,HIGH,>10bps,0,,
T+5m,weekday,LOW_PROXY,<1bps,9,0.4444444444444444,0.5555555555555556
T+5m,weekday,LOW_PROXY,1-2bps,5,0.4,0.6
T+5m,weekday,LOW_PROXY,2-5bps,21,0.6666666666666666,0.3333333333333333
T+5m,weekday,LOW_PROXY,5-10bps,28,0.7857142857142857,0.21428571428571427
T+5m,weekday,LOW_PROXY,>10bps,31,0.8064516129032258,0.1935483870967742
T+5m,weekend,LOW_PROXY,<1bps,26,0.6923076923076923,0.3076923076923077
T+5m,weekend,LOW_PROXY,1-2bps,13,0.7692307692307693,0.23076923076923078
T+5m,weekend,LOW_PROXY,2-5bps,26,0.6538461538461539,0.34615384615384615
T+5m,weekend,LOW_PROXY,5-10bps,22,0.7272727272727273,0.2727272727272727
T+5m,weekend,LOW_PROXY,>10bps,11,0.7272727272727273,0.2727272727272727
T-5m,weekday,ALL,<1bps,10,0.5,0.5
T-5m,weekday,ALL,1-2bps,5,0.4,0.6
T-5m,weekday,ALL,2-5bps,22,0.6363636363636364,0.36363636363636365
T-5m,weekday,ALL,5-10bps,29,0.7586206896551724,0.2413793103448276
T-5m,weekday,ALL,>10bps,34,0.7941176470588235,0.20588235294117646
T-5m,weekend,ALL,<1bps,26,0.6923076923076923,0.3076923076923077
T-5m,weekend,ALL,1-2bps,13,0.7692307692307693,0.23076923076923078
T-5m,weekend,ALL,2-5bps,26,0.6538461538461539,0.34615384615384615
T-5m,weekend,ALL,5-10bps,22,0.7272727272727273,0.2727272727272727
T-5m,weekend,ALL,>10bps,11,0.7272727272727273,0.2727272727272727
T-5m,weekday,HIGH,<1bps,1,1.0,0.0
T-5m,weekday,HIGH,1-2bps,0,,
T-5m,weekday,HIGH,2-5bps,1,0.0,1.0
T-5m,weekday,HIGH,5-10bps,1,0.0,1.0
T-5m,weekday,HIGH,>10bps,3,0.6666666666666666,0.3333333333333333
T-5m,weekend,HIGH,<1bps,0,,
T-5m,weekend,HIGH,1-2bps,0,,
T-5m,weekend,HIGH,2-5bps,0,,
T-5m,weekend,HIGH,5-10bps,0,,
T-5m,weekend,HIGH,>10bps,0,,
T-5m,weekday,LOW_PROXY,<1bps,9,0.4444444444444444,0.5555555555555556
T-5m,weekday,LOW_PROXY,1-2bps,5,0.4,0.6
T-5m,weekday,LOW_PROXY,2-5bps,21,0.6666666666666666,0.3333333333333333
T-5m,weekday,LOW_PROXY,5-10bps,28,0.7857142857142857,0.21428571428571427
T-5m,weekday,LOW_PROXY,>10bps,31,0.8064516129032258,0.1935483870967742
T-5m,weekend,LOW_PROXY,<1bps,26,0.6923076923076923,0.3076923076923077
T-5m,weekend,LOW_PROXY,1-2bps,13,0.7692307692307693,0.23076923076923078
T-5m,weekend,LOW_PROXY,2-5bps,26,0.6538461538461539,0.34615384615384615
T-5m,weekend,LOW_PROXY,5-10bps,22,0.7272727272727273,0.2727272727272727
T-5m,weekend,LOW_PROXY,>10bps,11,0.7272727272727273,0.2727272727272727
T-2m,weekday,ALL,<1bps,4,1.0,0.0
T-2m,weekday,ALL,1-2bps,1,1.0,0.0
T-2m,weekday,ALL,2-5bps,22,0.6363636363636364,0.36363636363636365
T-2m,weekday,ALL,5-10bps,24,0.9166666666666666,0.08333333333333333
T-2m,weekday,ALL,>10bps,49,0.9591836734693877,0.04081632653061224
T-2m,weekend,ALL,<1bps,17,0.7647058823529411,0.23529411764705882
T-2m,weekend,ALL,1-2bps,11,0.9090909090909091,0.09090909090909091
T-2m,weekend,ALL,2-5bps,25,0.88,0.12
T-2m,weekend,ALL,5-10bps,21,1.0,0.0
T-2m,weekend,ALL,>10bps,25,0.96,0.04
T-2m,weekday,HIGH,<1bps,0,,
T-2m,weekday,HIGH,1-2bps,0,,
T-2m,weekday,HIGH,2-5bps,1,1.0,0.0
T-2m,weekday,HIGH,5-10bps,1,1.0,0.0
T-2m,weekday,HIGH,>10bps,4,0.5,0.5
T-2m,weekend,HIGH,<1bps,0,,
T-2m,weekend,HIGH,1-2bps,0,,
T-2m,weekend,HIGH,2-5bps,0,,
T-2m,weekend,HIGH,5-10bps,0,,
T-2m,weekend,HIGH,>10bps,0,,
T-2m,weekday,LOW_PROXY,<1bps,4,1.0,0.0
T-2m,weekday,LOW_PROXY,1-2bps,1,1.0,0.0
T-2m,weekday,LOW_PROXY,2-5bps,21,0.6190476190476191,0.38095238095238093
T-2m,weekday,LOW_PROXY,5-10bps,23,0.9130434782608695,0.08695652173913043
T-2m,weekday,LOW_PROXY,>10bps,45,1.0,0.0
T-2m,weekend,LOW_PROXY,<1bps,17,0.7647058823529411,0.23529411764705882
T-2m,weekend,LOW_PROXY,1-2bps,11,0.9090909090909091,0.09090909090909091
T-2m,weekend,LOW_PROXY,2-5bps,25,0.88,0.12
T-2m,weekend,LOW_PROXY,5-10bps,21,1.0,0.0
T-2m,weekend,LOW_PROXY,>10bps,25,0.96,0.04
T-1m,weekday,ALL,<1bps,5,0.6,0.4
T-1m,weekday,ALL,1-2bps,1,1.0,0.0
T-1m,weekday,ALL,2-5bps,19,0.8947368421052632,0.10526315789473684
T-1m,weekday,ALL,5-10bps,28,0.8928571428571429,0.10714285714285714
T-1m,weekday,ALL,>10bps,47,1.0,0.0
T-1m,weekend,ALL,<1bps,14,0.7142857142857143,0.2857142857142857
T-1m,weekend,ALL,1-2bps,9,1.0,0.0
T-1m,weekend,ALL,2-5bps,28,0.9642857142857143,0.03571428571428571
T-1m,weekend,ALL,5-10bps,17,1.0,0.0
T-1m,weekend,ALL,>10bps,30,0.9666666666666667,0.03333333333333333
T-1m,weekday,HIGH,<1bps,0,,
T-1m,weekday,HIGH,1-2bps,0,,
T-1m,weekday,HIGH,2-5bps,1,1.0,0.0
T-1m,weekday,HIGH,5-10bps,4,0.75,0.25
T-1m,weekday,HIGH,>10bps,1,1.0,0.0
T-1m,weekend,HIGH,<1bps,0,,
T-1m,weekend,HIGH,1-2bps,0,,
T-1m,weekend,HIGH,2-5bps,0,,
T-1m,weekend,HIGH,5-10bps,0,,
T-1m,weekend,HIGH,>10bps,0,,
T-1m,weekday,LOW_PROXY,<1bps,5,0.6,0.4
T-1m,weekday,LOW_PROXY,1-2bps,1,1.0,0.0
T-1m,weekday,LOW_PROXY,2-5bps,18,0.8888888888888888,0.1111111111111111
T-1m,weekday,LOW_PROXY,5-10bps,24,0.9166666666666666,0.08333333333333333
T-1m,weekday,LOW_PROXY,>10bps,46,1.0,0.0
T-1m,weekend,LOW_PROXY,<1bps,14,0.7142857142857143,0.2857142857142857
T-1m,weekend,LOW_PROXY,1-2bps,9,1.0,0.0
T-1m,weekend,LOW_PROXY,2-5bps,28,0.9642857142857143,0.03571428571428571
T-1m,weekend,LOW_PROXY,5-10bps,17,1.0,0.0
T-1m,weekend,LOW_PROXY,>10bps,30,0.9666666666666667,0.03333333333333333
