hour_block_et,lifecycle_time,day_type,n,mean_abs_distance_bps,flip_rate
00-06,T+3m,weekday,25,5.432567329963594,0.08
00-06,T+3m,weekend,24,3.120653356152827,0.25
00-06,T+5m,weekday,25,9.013748382384021,0.16
00-06,T+5m,weekend,25,3.2785797853137324,0.28
00-06,T-5m,weekday,25,9.013748382384021,0.16
00-06,T-5m,weekend,25,3.2785797853137324,0.28
00-06,T-2m,weekday,25,11.79760705870164,0.08
00-06,T-2m,weekend,25,7.441977420103721,0.08
00-06,T-1m,weekday,25,13.871480866361654,0.04
00-06,T-1m,weekend,25,8.61745672354722,0.08
06-12,T+3m,weekday,25,9.480285622274963,0.36
06-12,T+3m,weekend,24,3.8104789593834445,0.3333333333333333
06-12,T+5m,weekday,25,8.522431795133654,0.44
06-12,T+5m,weekend,25,3.271248693054116,0.24
06-12,T-5m,weekday,25,8.522431795133654,0.44
06-12,T-5m,weekend,25,3.271248693054116,0.24
06-12,T-2m,weekday,25,12.137593526913616,0.16
06-12,T-2m,weekend,25,6.348295014109673,0.12
06-12,T-1m,weekday,25,12.565429472720563,0.08
06-12,T-1m,weekend,25,6.707232339038747,0.04
12-18,T+3m,weekday,25,6.756585290353451,0.32
12-18,T+3m,weekend,23,3.8542228186243803,0.30434782608695654
12-18,T+5m,weekday,25,9.703484741637187,0.24
12-18,T+5m,weekend,24,4.553107429744889,0.25
12-18,T-5m,weekday,25,9.703484741637187,0.24
12-18,T-5m,weekend,24,4.553107429744889,0.25
12-18,T-2m,weekday,25,9.965756741381437,0.12
12-18,T-2m,weekend,24,5.297142312833928,0.125
12-18,T-1m,weekday,25,10.260170111531744,0.12
12-18,T-1m,weekend,23,5.835912181961972,0.13043478260869565
18-24,T+3m,weekday,25,7.779738378915717,0.36
18-24,T+3m,weekend,23,5.361496584906017,0.43478260869565216
18-24,T+5m,weekday,25,10.648316327490468,0.36
18-24,T+5m,weekend,24,6.008205082326064,0.4166666666666667
18-24,T-5m,weekday,25,10.648316327490468,0.36
18-24,T-5m,weekend,24,6.008205082326064,0.4166666666666667
18-24,T-2m,weekday,25,17.65012264906899,0.12
18-24,T-2m,weekend,25,9.497544848239814,0.04
18-24,T-1m,weekday,25,17.263248351218365,0.04
18-24,T-1m,weekend,25,11.63546091569003,0.0
