lifecycle_time,day_type,strike_confidence,n,leader_accuracy,flip_after_time_rate,winner_truth
T+1m,weekday,ALL,100,0.7,0.3,Gamma decisive outcomePrices
T+1m,weekend,ALL,80,0.6125,0.3875,Gamma decisive outcomePrices
T+1m,weekday,HIGH,6,0.5,0.5,Gamma decisive outcomePrices
T+1m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T+1m,weekday,LOW_PROXY,94,0.7127659574468085,0.2872340425531915,Gamma decisive outcomePrices
T+1m,weekend,LOW_PROXY,80,0.6125,0.3875,Gamma decisive outcomePrices
T+2m,weekday,ALL,100,0.72,0.28,Gamma decisive outcomePrices
T+2m,weekend,ALL,95,0.6631578947368421,0.3368421052631579,Gamma decisive outcomePrices
T+2m,weekday,HIGH,6,0.5,0.5,Gamma decisive outcomePrices
T+2m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T+2m,weekday,LOW_PROXY,94,0.7340425531914894,0.26595744680851063,Gamma decisive outcomePrices
T+2m,weekend,LOW_PROXY,95,0.6631578947368421,0.3368421052631579,Gamma decisive outcomePrices
T+3m,weekday,ALL,100,0.72,0.28,Gamma decisive outcomePrices
T+3m,weekend,ALL,94,0.6702127659574468,0.32978723404255317,Gamma decisive outcomePrices
T+3m,weekday,HIGH,6,0.6666666666666666,0.3333333333333333,Gamma decisive outcomePrices
T+3m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T+3m,weekday,LOW_PROXY,94,0.723404255319149,0.2765957446808511,Gamma decisive outcomePrices
T+3m,weekend,LOW_PROXY,94,0.6702127659574468,0.32978723404255317,Gamma decisive outcomePrices
T+5m,weekday,ALL,100,0.7,0.3,Gamma decisive outcomePrices
T+5m,weekend,ALL,98,0.7040816326530612,0.29591836734693877,Gamma decisive outcomePrices
T+5m,weekday,HIGH,6,0.5,0.5,Gamma decisive outcomePrices
T+5m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T+5m,weekday,LOW_PROXY,94,0.7127659574468085,0.2872340425531915,Gamma decisive outcomePrices
T+5m,weekend,LOW_PROXY,98,0.7040816326530612,0.29591836734693877,Gamma decisive outcomePrices
T+10m,weekday,ALL,100,0.82,0.18,Gamma decisive outcomePrices
T+10m,weekend,ALL,100,0.83,0.17,Gamma decisive outcomePrices
T+10m,weekday,HIGH,6,0.6666666666666666,0.3333333333333333,Gamma decisive outcomePrices
T+10m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T+10m,weekday,LOW_PROXY,94,0.8297872340425532,0.1702127659574468,Gamma decisive outcomePrices
T+10m,weekend,LOW_PROXY,100,0.83,0.17,Gamma decisive outcomePrices
T-5m,weekday,ALL,100,0.7,0.3,Gamma decisive outcomePrices
T-5m,weekend,ALL,98,0.7040816326530612,0.29591836734693877,Gamma decisive outcomePrices
T-5m,weekday,HIGH,6,0.5,0.5,Gamma decisive outcomePrices
T-5m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T-5m,weekday,LOW_PROXY,94,0.7127659574468085,0.2872340425531915,Gamma decisive outcomePrices
T-5m,weekend,LOW_PROXY,98,0.7040816326530612,0.29591836734693877,Gamma decisive outcomePrices
T-3m,weekday,ALL,100,0.76,0.24,Gamma decisive outcomePrices
T-3m,weekend,ALL,99,0.8181818181818182,0.18181818181818182,Gamma decisive outcomePrices
T-3m,weekday,HIGH,6,0.5,0.5,Gamma decisive outcomePrices
T-3m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T-3m,weekday,LOW_PROXY,94,0.776595744680851,0.22340425531914893,Gamma decisive outcomePrices
T-3m,weekend,LOW_PROXY,99,0.8181818181818182,0.18181818181818182,Gamma decisive outcomePrices
T-2m,weekday,ALL,100,0.88,0.12,Gamma decisive outcomePrices
T-2m,weekend,ALL,99,0.9090909090909091,0.09090909090909091,Gamma decisive outcomePrices
T-2m,weekday,HIGH,6,0.6666666666666666,0.3333333333333333,Gamma decisive outcomePrices
T-2m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T-2m,weekday,LOW_PROXY,94,0.8936170212765957,0.10638297872340426,Gamma decisive outcomePrices
T-2m,weekend,LOW_PROXY,99,0.9090909090909091,0.09090909090909091,Gamma decisive outcomePrices
T-1m,weekday,ALL,100,0.93,0.07,Gamma decisive outcomePrices
T-1m,weekend,ALL,98,0.9387755102040817,0.061224489795918366,Gamma decisive outcomePrices
T-1m,weekday,HIGH,6,0.8333333333333334,0.16666666666666666,Gamma decisive outcomePrices
T-1m,weekend,HIGH,0,,,Gamma decisive outcomePrices
T-1m,weekday,LOW_PROXY,94,0.9361702127659575,0.06382978723404255,Gamma decisive outcomePrices
T-1m,weekend,LOW_PROXY,98,0.9387755102040817,0.061224489795918366,Gamma decisive outcomePrices
