slug,market_start_ts,market_end_ts,market_start_et,day_type,hour_block_et,winner_gamma,strike_value,strike_source,strike_confidence,gamma_strike_value,local_chainlink_strike,local_strike_source_detail,reconstructed_adjacent_strike,reconstructed_strike_source,reconstructed_strike_confidence,btc_source,T+1m_spot,T+1m_signed_distance_usd,T+1m_abs_distance_usd,T+1m_abs_distance_bps,T+1m_leader,T+1m_resolution_status,T+2m_spot,T+2m_signed_distance_usd,T+2m_abs_distance_usd,T+2m_abs_distance_bps,T+2m_leader,T+2m_resolution_status,T+3m_spot,T+3m_signed_distance_usd,T+3m_abs_distance_usd,T+3m_abs_distance_bps,T+3m_leader,T+3m_resolution_status,T+5m_spot,T+5m_signed_distance_usd,T+5m_abs_distance_usd,T+5m_abs_distance_bps,T+5m_leader,T+5m_resolution_status,T+10m_spot,T+10m_signed_distance_usd,T+10m_abs_distance_usd,T+10m_abs_distance_bps,T+10m_leader,T+10m_resolution_status,T-5m_spot,T-5m_signed_distance_usd,T-5m_abs_distance_usd,T-5m_abs_distance_bps,T-5m_leader,T-5m_resolution_status,T-3m_spot,T-3m_signed_distance_usd,T-3m_abs_distance_usd,T-3m_abs_distance_bps,T-3m_leader,T-3m_resolution_status,T-2m_spot,T-2m_signed_distance_usd,T-2m_abs_distance_usd,T-2m_abs_distance_bps,T-2m_leader,T-2m_resolution_status,T-1m_spot,T-1m_signed_distance_usd,T-1m_abs_distance_usd,T-1m_abs_distance_bps,T-1m_leader,T-1m_resolution_status,T-30s_resolution_status,T-15s_resolution_status,T-5s_resolution_status,T-1s_resolution_status,min_abs_distance_last_5m_usd,min_abs_distance_last_3m_usd,min_abs_distance_last_2m_usd,min_abs_distance_last_1m_usd
btc-updown-15m-1785135600,1785135600,1785136500,2026-07-27T03:00:00-04:00,weekday,00-06,UP,65416.76,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,65416.76,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",65401.99,-14.770000000004075,14.770000000004075,2.2578311735408594,DOWN,OBSERVED_1M,65425.21,8.44999999999709,8.44999999999709,1.291717902261911,UP,OBSERVED_1M,65422.01,5.25,5.25,0.8025466256659608,UP,OBSERVED_1M,65430.0,13.239999999997963,13.239999999997963,2.023946156917274,UP,OBSERVED_1M,65440.0,23.239999999997963,23.239999999997963,3.5526063962810084,UP,OBSERVED_1M,65430.0,13.239999999997963,13.239999999997963,2.023946156917274,UP,OBSERVED_1M,65352.7,-64.06000000000495,64.06000000000495,9.792597493364843,DOWN,OBSERVED_1M,65395.58,-21.18000000000029,21.18000000000029,3.2377023869724346,DOWN,OBSERVED_1M,65412.01,-4.75,4.75,0.726113613697774,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,0.31999999999970896,0.31999999999970896,0.31999999999970896,5.239999999997963
btc-updown-15m-1785157200,1785157200,1785158100,2026-07-27T09:00:00-04:00,weekday,06-12,DOWN,65086.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,65086.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",65070.56,-15.440000000002328,15.440000000002328,2.372245951510667,DOWN,OBSERVED_1M,65048.0,-38.0,38.0,5.838429155271487,DOWN,OBSERVED_1M,65112.07,26.06999999999971,26.06999999999971,4.00546968626121,UP,OBSERVED_1M,65090.01,4.010000000002037,4.010000000002037,0.616107918753962,UP,OBSERVED_1M,65052.0,-34.0,34.0,5.223857665242909,DOWN,OBSERVED_1M,65090.01,4.010000000002037,4.010000000002037,0.616107918753962,UP,OBSERVED_1M,65064.0,-22.0,22.0,3.380143195157177,DOWN,OBSERVED_1M,65031.9,-54.099999999998545,54.099999999998545,8.312079402636288,DOWN,OBSERVED_1M,65055.37,-30.62999999999738,30.62999999999738,4.7060811848934305,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,20.010000000002037,30.62999999999738,64.0,107.77999999999884
btc-updown-15m-1785243600,1785243600,1785244500,2026-07-28T09:00:00-04:00,weekday,06-12,DOWN,63546.65,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,63546.65,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",63543.18,-3.470000000001164,3.470000000001164,0.5460555355791633,DOWN,OBSERVED_1M,63543.23,-3.4199999999982538,3.4199999999982538,0.5381873001957229,DOWN,OBSERVED_1M,63521.29,-25.360000000000582,25.360000000000582,3.9907689862487765,DOWN,OBSERVED_1M,63525.35,-21.30000000000291,21.30000000000291,3.3518682731509704,DOWN,OBSERVED_1M,63510.01,-36.63999999999942,36.63999999999942,5.765842888649428,DOWN,OBSERVED_1M,63525.35,-21.30000000000291,21.30000000000291,3.3518682731509704,DOWN,OBSERVED_1M,63585.3,38.650000000001455,38.650000000001455,6.082145951045642,UP,OBSERVED_1M,63487.59,-59.06000000000495,59.06000000000495,9.293959634379616,DOWN,OBSERVED_1M,63493.99,-52.66000000000349,52.66000000000349,8.286825505357637,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,30.639999999999418,30.639999999999418,30.639999999999418,30.639999999999418
btc-updown-15m-1785265200,1785265200,1785266100,2026-07-28T15:00:00-04:00,weekday,12-18,UP,63734.49,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,63734.49,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",63782.59,48.099999999998545,48.099999999998545,7.5469341639038054,UP,OBSERVED_1M,63775.99,41.5,41.5,6.511388103992045,UP,OBSERVED_1M,63833.99,99.5,99.5,15.611641357764062,UP,OBSERVED_1M,63824.01,89.52000000000407,89.52000000000407,14.045770194443241,UP,OBSERVED_1M,63782.0,47.51000000000204,47.51000000000204,7.454362622184949,UP,OBSERVED_1M,63824.01,89.52000000000407,89.52000000000407,14.045770194443241,UP,OBSERVED_1M,63748.52,14.029999999998836,14.029999999998836,2.2013198819036344,UP,OBSERVED_1M,63778.01,43.520000000004075,43.520000000004075,6.828327958693021,UP,OBSERVED_1M,63776.0,41.51000000000204,41.51000000000204,6.51295711317405,UP,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,25.510000000002037,25.510000000002037,25.510000000002037,27.37000000000262
btc-updown-15m-1785286800,1785286800,1785287700,2026-07-28T21:00:00-04:00,weekday,18-24,DOWN,63953.99,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,63953.99,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",63922.05,-31.939999999995052,31.939999999995052,4.994215372644467,DOWN,OBSERVED_1M,63966.07,12.080000000001746,12.080000000001746,1.888857911758398,UP,OBSERVED_1M,63982.86,28.87000000000262,28.87000000000262,4.514182774210432,UP,OBSERVED_1M,63986.0,32.01000000000204,32.01000000000204,5.005160741339522,UP,OBSERVED_1M,63913.99,-40.0,40.0,6.254496396550082,DOWN,OBSERVED_1M,63986.0,32.01000000000204,32.01000000000204,5.005160741339522,UP,OBSERVED_1M,63928.01,-25.979999999995925,25.979999999995925,4.062295409558642,DOWN,OBSERVED_1M,63880.0,-73.98999999999796,73.98999999999796,11.569254709518196,DOWN,OBSERVED_1M,63854.0,-99.98999999999796,99.98999999999796,15.634677367275751,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,73.98999999999796,89.98999999999796,89.98999999999796,138.0199999999968
btc-updown-15m-1785351600,1785351600,1785352500,2026-07-29T15:00:00-04:00,weekday,12-18,DOWN,64501.52,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,64501.52,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",64484.02,-17.5,17.5,2.7131143576151384,DOWN,OBSERVED_1M,64573.86,72.34000000000378,72.34000000000378,11.215239578850822,UP,OBSERVED_1M,64552.04,50.520000000004075,50.520000000004075,7.832373562670163,UP,OBSERVED_1M,64464.0,-37.5199999999968,37.5199999999968,5.816917182726361,DOWN,OBSERVED_1M,64228.19,-273.32999999999447,273.32999999999447,42.375745563824616,DOWN,OBSERVED_1M,64464.0,-37.5199999999968,37.5199999999968,5.816917182726361,DOWN,OBSERVED_1M,64268.48,-233.0399999999936,233.0399999999936,36.12938113706369,DOWN,OBSERVED_1M,64219.64,-281.8799999999974,281.8799999999974,43.70129572140275,DOWN,OBSERVED_1M,64326.42,-175.09999999999854,175.09999999999854,27.1466470867661,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,175.09999999999854,175.09999999999854,190.7699999999968,217.5199999999968
btc-updown-15m-1785373200,1785373200,1785374100,2026-07-29T21:00:00-04:00,weekday,18-24,UP,63696.72,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,63696.72,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",63691.9,-4.819999999999709,4.819999999999709,0.756710863604862,DOWN,OBSERVED_1M,63708.88,12.159999999996217,12.159999999996217,1.9090464940731982,UP,OBSERVED_1M,63760.0,63.279999999998836,63.279999999998836,9.934577479028565,UP,OBSERVED_1M,63829.61,132.88999999999942,132.88999999999942,20.862926693870488,UP,OBSERVED_1M,63806.14,109.41999999999825,109.41999999999825,17.17827856756176,UP,OBSERVED_1M,63829.61,132.88999999999942,132.88999999999942,20.862926693870488,UP,OBSERVED_1M,63850.01,153.29000000000087,153.29000000000087,24.06560337800767,UP,OBSERVED_1M,63780.61,83.88999999999942,83.88999999999942,13.170222893737607,UP,OBSERVED_1M,63771.99,75.2699999999968,75.2699999999968,11.81693500073423,UP,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,9.290000000000873,9.290000000000873,9.290000000000873,9.290000000000873
btc-updown-15m-1785394800,1785394800,1785395700,2026-07-30T03:00:00-04:00,weekday,00-06,UP,64002.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,64002.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",64047.99,45.98999999999796,45.98999999999796,7.185712946470105,UP,OBSERVED_1M,64121.37,119.37000000000262,119.37000000000262,18.650979656886133,UP,OBSERVED_1M,64123.1,121.09999999999854,121.09999999999854,18.92128370988384,UP,OBSERVED_1M,64100.0,98.0,98.0,15.312021499328146,UP,OBSERVED_1M,64069.99,67.98999999999796,67.98999999999796,10.623105527951934,UP,OBSERVED_1M,64100.0,98.0,98.0,15.312021499328146,UP,OBSERVED_1M,64019.81,17.80999999999767,17.80999999999767,2.7827255398265165,UP,OBSERVED_1M,64060.01,58.01000000000204,58.01000000000204,9.06377925689854,UP,OBSERVED_1M,64092.16,90.16000000000349,90.16000000000349,14.08705977938244,UP,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,55.830000000001746,55.830000000001746,55.830000000001746,55.830000000001746
btc-updown-15m-1785416400,1785416400,1785417300,2026-07-30T09:00:00-04:00,weekday,06-12,DOWN,64925.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,64925.0,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",64906.01,-18.989999999997963,18.989999999997963,2.9249133615707295,DOWN,OBSERVED_1M,64905.56,-19.44000000000233,19.44000000000233,2.9942241047365927,DOWN,OBSERVED_1M,64876.0,-49.0,49.0,7.547169811320754,DOWN,OBSERVED_1M,64872.91,-52.08999999999651,52.08999999999651,8.023103581054526,DOWN,OBSERVED_1M,64878.0,-47.0,47.0,7.239122063919908,DOWN,OBSERVED_1M,64872.91,-52.08999999999651,52.08999999999651,8.023103581054526,DOWN,OBSERVED_1M,64878.0,-47.0,47.0,7.239122063919908,DOWN,OBSERVED_1M,64858.0,-67.0,67.0,10.31959953792838,DOWN,OBSERVED_1M,64856.88,-68.12000000000262,68.12000000000262,10.492106276473256,DOWN,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,51.0,51.0,51.0,85.7300000000032
btc-updown-15m-1785459600,1785459600,1785460500,2026-07-30T21:00:00-04:00,weekday,18-24,UP,64724.91,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,,,,64724.91,RECONSTRUCTED_ADJACENT_MARKET_BINANCE_PROXY,LOW_PROXY,"Binance BTCUSDT 1m; proxy, not Chainlink settlement source",64830.01,105.09999999999854,105.09999999999854,16.23795228143207,UP,OBSERVED_1M,64875.9,150.98999999999796,150.98999999999796,23.327958277577824,UP,OBSERVED_1M,64934.21,209.29999999999563,209.29999999999563,32.336854543327384,UP,OBSERVED_1M,64955.7,230.7899999999936,230.7899999999936,35.65706000981594,UP,OBSERVED_1M,65339.38,614.4699999999939,614.4699999999939,94.93562833845483,UP,OBSERVED_1M,64955.7,230.7899999999936,230.7899999999936,35.65706000981594,UP,OBSERVED_1M,65117.88,392.9699999999939,392.9699999999939,60.71387353029829,UP,OBSERVED_1M,65371.99,647.0799999999945,647.0799999999945,99.97387404632845,UP,OBSERVED_1M,65304.0,579.0899999999965,579.0899999999965,89.46941757045263,UP,OBSERVED_1M,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,UNAVAILABLE_AT_CURRENT_RESOLUTION,464.3999999999942,464.3999999999942,464.3999999999942,464.4099999999962
