lifecycle_time,day_type,strike_confidence,distance_bucket,n,markets_in_bucket,share,n_weekday,n_weekend
T+1m,weekday,ALL,<1bps,100,17,0.17,,
T+1m,weekday,ALL,1-2bps,100,7,0.07,,
T+1m,weekday,ALL,2-5bps,100,42,0.42,,
T+1m,weekday,ALL,5-10bps,100,28,0.28,,
T+1m,weekday,ALL,>10bps,100,6,0.06,,
T+1m,weekday,ALL,P(<1bps),100,17,0.17,,
T+1m,weekday,ALL,P(<2bps),100,24,0.24,,
T+1m,weekday,ALL,P(<5bps),100,66,0.66,,
T+1m,weekend,ALL,<1bps,100,56,0.56,,
T+1m,weekend,ALL,1-2bps,100,9,0.09,,
T+1m,weekend,ALL,2-5bps,100,20,0.2,,
T+1m,weekend,ALL,5-10bps,100,11,0.11,,
T+1m,weekend,ALL,>10bps,100,4,0.04,,
T+1m,weekend,ALL,P(<1bps),100,56,0.56,,
T+1m,weekend,ALL,P(<2bps),100,65,0.65,,
T+1m,weekend,ALL,P(<5bps),100,85,0.85,,
T+1m,weekend_minus_weekday,ALL,<1bps,,,0.39,100,100
T+1m,weekend_minus_weekday,ALL,1-2bps,,,0.01999999999999999,100,100
T+1m,weekend_minus_weekday,ALL,2-5bps,,,-0.21999999999999997,100,100
T+1m,weekend_minus_weekday,ALL,5-10bps,,,-0.17000000000000004,100,100
T+1m,weekend_minus_weekday,ALL,>10bps,,,-0.019999999999999997,100,100
T+1m,weekday,HIGH,<1bps,6,0,0.0,,
T+1m,weekday,HIGH,1-2bps,6,1,0.16666666666666666,,
T+1m,weekday,HIGH,2-5bps,6,1,0.16666666666666666,,
T+1m,weekday,HIGH,5-10bps,6,2,0.3333333333333333,,
T+1m,weekday,HIGH,>10bps,6,2,0.3333333333333333,,
T+1m,weekday,HIGH,P(<1bps),6,0,0.0,,
T+1m,weekday,HIGH,P(<2bps),6,1,0.16666666666666666,,
T+1m,weekday,HIGH,P(<5bps),6,2,0.3333333333333333,,
T+1m,weekend,HIGH,<1bps,0,0,,,
T+1m,weekend,HIGH,1-2bps,0,0,,,
T+1m,weekend,HIGH,2-5bps,0,0,,,
T+1m,weekend,HIGH,5-10bps,0,0,,,
T+1m,weekend,HIGH,>10bps,0,0,,,
T+1m,weekend,HIGH,P(<1bps),0,0,,,
T+1m,weekend,HIGH,P(<2bps),0,0,,,
T+1m,weekend,HIGH,P(<5bps),0,0,,,
T+1m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T+1m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T+1m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+1m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+1m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+1m,weekday,LOW_PROXY,<1bps,94,17,0.18085106382978725,,
T+1m,weekday,LOW_PROXY,1-2bps,94,6,0.06382978723404255,,
T+1m,weekday,LOW_PROXY,2-5bps,94,41,0.43617021276595747,,
T+1m,weekday,LOW_PROXY,5-10bps,94,26,0.2765957446808511,,
T+1m,weekday,LOW_PROXY,>10bps,94,4,0.0425531914893617,,
T+1m,weekday,LOW_PROXY,P(<1bps),94,17,0.18085106382978725,,
T+1m,weekday,LOW_PROXY,P(<2bps),94,23,0.24468085106382978,,
T+1m,weekday,LOW_PROXY,P(<5bps),94,64,0.6808510638297872,,
T+1m,weekend,LOW_PROXY,<1bps,100,56,0.56,,
T+1m,weekend,LOW_PROXY,1-2bps,100,9,0.09,,
T+1m,weekend,LOW_PROXY,2-5bps,100,20,0.2,,
T+1m,weekend,LOW_PROXY,5-10bps,100,11,0.11,,
T+1m,weekend,LOW_PROXY,>10bps,100,4,0.04,,
T+1m,weekend,LOW_PROXY,P(<1bps),100,56,0.56,,
T+1m,weekend,LOW_PROXY,P(<2bps),100,65,0.65,,
T+1m,weekend,LOW_PROXY,P(<5bps),100,85,0.85,,
T+1m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.37914893617021284,94,100
T+1m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.02617021276595745,94,100
T+1m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,-0.23617021276595745,94,100
T+1m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.1665957446808511,94,100
T+1m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.0025531914893617003,94,100
T+2m,weekday,ALL,<1bps,100,12,0.12,,
T+2m,weekday,ALL,1-2bps,100,12,0.12,,
T+2m,weekday,ALL,2-5bps,100,32,0.32,,
T+2m,weekday,ALL,5-10bps,100,23,0.23,,
T+2m,weekday,ALL,>10bps,100,21,0.21,,
T+2m,weekday,ALL,P(<1bps),100,12,0.12,,
T+2m,weekday,ALL,P(<2bps),100,24,0.24,,
T+2m,weekday,ALL,P(<5bps),100,56,0.56,,
T+2m,weekend,ALL,<1bps,100,42,0.42,,
T+2m,weekend,ALL,1-2bps,100,14,0.14,,
T+2m,weekend,ALL,2-5bps,100,21,0.21,,
T+2m,weekend,ALL,5-10bps,100,11,0.11,,
T+2m,weekend,ALL,>10bps,100,12,0.12,,
T+2m,weekend,ALL,P(<1bps),100,42,0.42,,
T+2m,weekend,ALL,P(<2bps),100,56,0.56,,
T+2m,weekend,ALL,P(<5bps),100,77,0.77,,
T+2m,weekend_minus_weekday,ALL,<1bps,,,0.3,100,100
T+2m,weekend_minus_weekday,ALL,1-2bps,,,0.020000000000000018,100,100
T+2m,weekend_minus_weekday,ALL,2-5bps,,,-0.11000000000000001,100,100
T+2m,weekend_minus_weekday,ALL,5-10bps,,,-0.12000000000000001,100,100
T+2m,weekend_minus_weekday,ALL,>10bps,,,-0.09,100,100
T+2m,weekday,HIGH,<1bps,6,1,0.16666666666666666,,
T+2m,weekday,HIGH,1-2bps,6,1,0.16666666666666666,,
T+2m,weekday,HIGH,2-5bps,6,1,0.16666666666666666,,
T+2m,weekday,HIGH,5-10bps,6,0,0.0,,
T+2m,weekday,HIGH,>10bps,6,3,0.5,,
T+2m,weekday,HIGH,P(<1bps),6,1,0.16666666666666666,,
T+2m,weekday,HIGH,P(<2bps),6,2,0.3333333333333333,,
T+2m,weekday,HIGH,P(<5bps),6,3,0.5,,
T+2m,weekend,HIGH,<1bps,0,0,,,
T+2m,weekend,HIGH,1-2bps,0,0,,,
T+2m,weekend,HIGH,2-5bps,0,0,,,
T+2m,weekend,HIGH,5-10bps,0,0,,,
T+2m,weekend,HIGH,>10bps,0,0,,,
T+2m,weekend,HIGH,P(<1bps),0,0,,,
T+2m,weekend,HIGH,P(<2bps),0,0,,,
T+2m,weekend,HIGH,P(<5bps),0,0,,,
T+2m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T+2m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T+2m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+2m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+2m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+2m,weekday,LOW_PROXY,<1bps,94,11,0.11702127659574468,,
T+2m,weekday,LOW_PROXY,1-2bps,94,11,0.11702127659574468,,
T+2m,weekday,LOW_PROXY,2-5bps,94,31,0.32978723404255317,,
T+2m,weekday,LOW_PROXY,5-10bps,94,23,0.24468085106382978,,
T+2m,weekday,LOW_PROXY,>10bps,94,18,0.19148936170212766,,
T+2m,weekday,LOW_PROXY,P(<1bps),94,11,0.11702127659574468,,
T+2m,weekday,LOW_PROXY,P(<2bps),94,22,0.23404255319148937,,
T+2m,weekday,LOW_PROXY,P(<5bps),94,53,0.5638297872340425,,
T+2m,weekend,LOW_PROXY,<1bps,100,42,0.42,,
T+2m,weekend,LOW_PROXY,1-2bps,100,14,0.14,,
T+2m,weekend,LOW_PROXY,2-5bps,100,21,0.21,,
T+2m,weekend,LOW_PROXY,5-10bps,100,11,0.11,,
T+2m,weekend,LOW_PROXY,>10bps,100,12,0.12,,
T+2m,weekend,LOW_PROXY,P(<1bps),100,42,0.42,,
T+2m,weekend,LOW_PROXY,P(<2bps),100,56,0.56,,
T+2m,weekend,LOW_PROXY,P(<5bps),100,77,0.77,,
T+2m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.3029787234042553,94,100
T+2m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.02297872340425533,94,100
T+2m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,-0.11978723404255318,94,100
T+2m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.13468085106382977,94,100
T+2m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.07148936170212766,94,100
T+3m,weekday,ALL,<1bps,100,12,0.12,,
T+3m,weekday,ALL,1-2bps,100,7,0.07,,
T+3m,weekday,ALL,2-5bps,100,34,0.34,,
T+3m,weekday,ALL,5-10bps,100,23,0.23,,
T+3m,weekday,ALL,>10bps,100,24,0.24,,
T+3m,weekday,ALL,P(<1bps),100,12,0.12,,
T+3m,weekday,ALL,P(<2bps),100,19,0.19,,
T+3m,weekday,ALL,P(<5bps),100,53,0.53,,
T+3m,weekend,ALL,<1bps,100,35,0.35,,
T+3m,weekend,ALL,1-2bps,100,13,0.13,,
T+3m,weekend,ALL,2-5bps,100,24,0.24,,
T+3m,weekend,ALL,5-10bps,100,17,0.17,,
T+3m,weekend,ALL,>10bps,100,11,0.11,,
T+3m,weekend,ALL,P(<1bps),100,35,0.35,,
T+3m,weekend,ALL,P(<2bps),100,48,0.48,,
T+3m,weekend,ALL,P(<5bps),100,72,0.72,,
T+3m,weekend_minus_weekday,ALL,<1bps,,,0.22999999999999998,100,100
T+3m,weekend_minus_weekday,ALL,1-2bps,,,0.06,100,100
T+3m,weekend_minus_weekday,ALL,2-5bps,,,-0.10000000000000003,100,100
T+3m,weekend_minus_weekday,ALL,5-10bps,,,-0.06,100,100
T+3m,weekend_minus_weekday,ALL,>10bps,,,-0.13,100,100
T+3m,weekday,HIGH,<1bps,6,0,0.0,,
T+3m,weekday,HIGH,1-2bps,6,0,0.0,,
T+3m,weekday,HIGH,2-5bps,6,3,0.5,,
T+3m,weekday,HIGH,5-10bps,6,1,0.16666666666666666,,
T+3m,weekday,HIGH,>10bps,6,2,0.3333333333333333,,
T+3m,weekday,HIGH,P(<1bps),6,0,0.0,,
T+3m,weekday,HIGH,P(<2bps),6,0,0.0,,
T+3m,weekday,HIGH,P(<5bps),6,3,0.5,,
T+3m,weekend,HIGH,<1bps,0,0,,,
T+3m,weekend,HIGH,1-2bps,0,0,,,
T+3m,weekend,HIGH,2-5bps,0,0,,,
T+3m,weekend,HIGH,5-10bps,0,0,,,
T+3m,weekend,HIGH,>10bps,0,0,,,
T+3m,weekend,HIGH,P(<1bps),0,0,,,
T+3m,weekend,HIGH,P(<2bps),0,0,,,
T+3m,weekend,HIGH,P(<5bps),0,0,,,
T+3m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+3m,weekday,LOW_PROXY,<1bps,94,12,0.1276595744680851,,
T+3m,weekday,LOW_PROXY,1-2bps,94,7,0.07446808510638298,,
T+3m,weekday,LOW_PROXY,2-5bps,94,31,0.32978723404255317,,
T+3m,weekday,LOW_PROXY,5-10bps,94,22,0.23404255319148937,,
T+3m,weekday,LOW_PROXY,>10bps,94,22,0.23404255319148937,,
T+3m,weekday,LOW_PROXY,P(<1bps),94,12,0.1276595744680851,,
T+3m,weekday,LOW_PROXY,P(<2bps),94,19,0.20212765957446807,,
T+3m,weekday,LOW_PROXY,P(<5bps),94,50,0.5319148936170213,,
T+3m,weekend,LOW_PROXY,<1bps,100,35,0.35,,
T+3m,weekend,LOW_PROXY,1-2bps,100,13,0.13,,
T+3m,weekend,LOW_PROXY,2-5bps,100,24,0.24,,
T+3m,weekend,LOW_PROXY,5-10bps,100,17,0.17,,
T+3m,weekend,LOW_PROXY,>10bps,100,11,0.11,,
T+3m,weekend,LOW_PROXY,P(<1bps),100,35,0.35,,
T+3m,weekend,LOW_PROXY,P(<2bps),100,48,0.48,,
T+3m,weekend,LOW_PROXY,P(<5bps),100,72,0.72,,
T+3m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.22234042553191488,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.05553191489361703,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,-0.08978723404255318,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.06404255319148935,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.12404255319148937,94,100
T+5m,weekday,ALL,<1bps,100,10,0.1,,
T+5m,weekday,ALL,1-2bps,100,5,0.05,,
T+5m,weekday,ALL,2-5bps,100,22,0.22,,
T+5m,weekday,ALL,5-10bps,100,29,0.29,,
T+5m,weekday,ALL,>10bps,100,34,0.34,,
T+5m,weekday,ALL,P(<1bps),100,10,0.1,,
T+5m,weekday,ALL,P(<2bps),100,15,0.15,,
T+5m,weekday,ALL,P(<5bps),100,37,0.37,,
T+5m,weekend,ALL,<1bps,100,28,0.28,,
T+5m,weekend,ALL,1-2bps,100,13,0.13,,
T+5m,weekend,ALL,2-5bps,100,26,0.26,,
T+5m,weekend,ALL,5-10bps,100,22,0.22,,
T+5m,weekend,ALL,>10bps,100,11,0.11,,
T+5m,weekend,ALL,P(<1bps),100,28,0.28,,
T+5m,weekend,ALL,P(<2bps),100,41,0.41,,
T+5m,weekend,ALL,P(<5bps),100,67,0.67,,
T+5m,weekend_minus_weekday,ALL,<1bps,,,0.18000000000000002,100,100
