lifecycle_time,strike_confidence,metric,weekday_n,weekend_n,weekend_minus_weekday,bootstrap_ci_low,bootstrap_ci_high,permutation_p,cohens_d
T+1m,ALL,mean_abs_distance_usd,100,100,-15.475911549655212,-25.096768901597972,-5.109304559550576,0.003996003996003996,-0.4252386140850898
T+1m,ALL,mean_abs_distance_bps,100,100,-2.214221461292729,-3.6467751916354283,-0.8449339521147267,0.000999000999000999,-0.461116396622351
T+1m,HIGH,mean_abs_distance_usd,6,0,,,,,
T+1m,HIGH,mean_abs_distance_bps,6,0,,,,,
T+1m,LOW_PROXY,mean_abs_distance_usd,94,100,-14.032451063829907,-24.912016702126625,-3.6616221276602454,0.004995004995004995,-0.38600816086150924
T+1m,LOW_PROXY,mean_abs_distance_bps,94,100,-2.0475421255856596,-3.4974353495224837,-0.7826420215528228,0.003996003996003996,-0.42611720138874287
T+2m,ALL,mean_abs_distance_usd,100,100,-20.610675750941667,-34.56323398483601,-8.770073111525283,0.001998001998001998,-0.44792133148051627
T+2m,ALL,mean_abs_distance_bps,100,100,-2.9664226015600814,-4.619197982455456,-1.2983699309215924,0.000999000999000999,-0.48780512133485593
T+2m,HIGH,mean_abs_distance_usd,6,0,,,,,
T+2m,HIGH,mean_abs_distance_bps,6,0,,,,,
T+2m,LOW_PROXY,mean_abs_distance_usd,94,100,-19.907140425531985,-32.58848212765857,-6.979707872340032,0.002997002997002997,-0.4332021380551725
T+2m,LOW_PROXY,mean_abs_distance_bps,94,100,-2.9029588884801054,-4.708415924215046,-1.068867353201903,0.001998001998001998,-0.47748636813479284
T+3m,ALL,mean_abs_distance_usd,100,100,-24.94248575069752,-38.99961141056193,-12.810487364767255,0.001998001998001998,-0.5209168592063488
T+3m,ALL,mean_abs_distance_bps,100,100,-3.579206936836234,-5.328348921979817,-1.8142467221803713,0.000999000999000999,-0.5581643974616589
T+3m,HIGH,mean_abs_distance_usd,6,0,,,,,
T+3m,HIGH,mean_abs_distance_bps,6,0,,,,,
T+3m,LOW_PROXY,mean_abs_distance_usd,94,100,-23.70733404255217,-37.733137127659546,-11.827691755317757,0.000999000999000999,-0.5060476628918228
T+3m,LOW_PROXY,mean_abs_distance_bps,94,100,-3.450262167132204,-5.313510590539368,-1.7763734210266025,0.000999000999000999,-0.5482338463785106
T+5m,ALL,mean_abs_distance_usd,100,100,-38.16688696844335,-53.05142634427058,-24.5150899490927,0.000999000999000999,-0.7189365735335272
T+5m,ALL,mean_abs_distance_bps,100,100,-5.299823189172342,-7.180111394031342,-3.3723291653622085,0.000999000999000999,-0.7583805188584086
T+5m,HIGH,mean_abs_distance_usd,6,0,,,,,
T+5m,HIGH,mean_abs_distance_bps,6,0,,,,,
T+5m,LOW_PROXY,mean_abs_distance_usd,94,100,-37.06767234042586,-51.870940585106176,-22.4801430851072,0.000999000999000999,-0.7022615029084421
T+5m,LOW_PROXY,mean_abs_distance_bps,94,100,-5.190805025851432,-7.241639849494737,-3.2698692884305633,0.000999000999000999,-0.7462508546328868
