slug,status,gamma_status,trade_status,price_status,error_code
btc-updown-15m-1788882300,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1788955200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789042500,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789046100,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789051500,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789052400,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789053300,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789054200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789056000,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789140600,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789141500,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789146900,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789387200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789389000,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789395300,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789396200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789735500,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789737300,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789738200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789740000,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789745400,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789747200,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789748100,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789751700,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789752600,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789753500,SUCCESS_PUBLIC_HISTORY,success,success,success,
btc-updown-15m-1789754400,SUCCESS_PUBLIC_HISTORY,success,success,success,
