market_slug,entry_source,entry_price,exit_price,qty,actual_pnl,exit_reason,hold_sec,liquidity_regime,public_trade_count,public_volume_shares,public_volume_usdc_estimate,public_median_trade_size,public_max_no_trade_gap_sec,public_realized_volatility,public_liquidity_score
btc-updown-15m-1788882300,unmatched_inventory_history,,0.64,10.141362,6.382802543394817,outcome_fast_follow_reversal,,medium,913,22272.595959,12896.429183037455,7.69,39.0,0.6538600408507598,
btc-updown-15m-1788955200,unmatched_inventory_history,,0.97,5.562332,0.8343498,,,medium,935,22118.432644,13894.297970007292,8.170213,42.0,0.7818843935265655,
btc-updown-15m-1789042500,outcome_fast_follow,0.88,0.97,5.458182,0.49123638,,378.583411,high,790,26489.447891,14674.182712941361,10.0,40.0,2.9896186234940387,
btc-updown-15m-1789045200,outcome_fast_follow,0.89,0.04,5.522586,-4.694808853830912,offside_near_close,198.614812,high,1422.0,36614.732469,20480.483225998374,7.0,12.0,1.1374093370462544,0.7654018612521151
btc-updown-15m-1789046100,outcome_fast_follow,0.75,0.97,5.787464,1.27324208,,370.536998,high,1062,30044.743289,18051.64035209119,9.090908,38.0,0.6340399414881533,
btc-updown-15m-1789051500,outcome_fast_follow,0.7,0.97,7.27,1.9629,,214.240396,medium,658,20128.767055,12978.02098001093,10.0,42.0,0.4675041934287151,
btc-updown-15m-1789052400,outcome_fast_follow,0.8,0.97,5.43664,0.9242288,,100.89297,high,973,26161.435862,14448.715833976554,9.61,24.0,2.9078265420391847,
btc-updown-15m-1789053300,outcome_fast_follow,0.74,0.97,5.458855,1.25553665,,353.389379,medium,563,17302.486115,6667.241844097387,10.0,131.0,3.287281812887806,
btc-updown-15m-1789054200,outcome_fast_follow,0.88,0.97,5.582232,0.50240088,,69.193289,medium,714,25359.387447,12405.76063185386,10.0,36.0,0.4723981671157228,
btc-updown-15m-1789056000,outcome_fast_follow,0.79,0.97,5.503091,0.99055638,,287.657512,low,419,16896.488219,9055.255807019115,8.888889,138.0,2.837337633277545,
btc-updown-15m-1789140600,outcome_fast_follow,0.63,0.39,10.300366,-2.540896674564912,invalidation_recovery,255.311009,high,1087,28513.909139,15420.005589937464,10.138889,21.0,2.4015308029405356,
btc-updown-15m-1789141500,outcome_fast_follow,0.9,0.97,5.46436,0.38250520000000005,,77.669232,medium,500,23928.548083,8479.64595909715,10.0,161.0,5.179362642783125,
btc-updown-15m-1789146900,unmatched_inventory_history,,0.02,6.12666,-3.92123531885184,endgame_twap_stop_loss,,high,672,17179.408897,10281.168544977425,10.0,18.0,0.7480216814382183,
btc-updown-15m-1789387200,outcome_fast_follow,0.82,0.97,5.574272,0.83614076895024,,400.749142,medium,550,27658.854008,13055.278084161593,10.0,45.0,0.6572825963928168,
btc-updown-15m-1789389000,outcome_fast_follow,0.84,0.97,5.706143,0.74179859,,327.236486,high,1075,48932.438563,27251.539357719837,10.22,13.0,3.906720093477303,
btc-updown-15m-1789395300,outcome_fast_follow,0.68,0.03,5.28355,-3.4346396028188004,endgame_twap_stop_loss,515.515808,high,948,24962.974081,13977.853116954888,10.0,24.0,5.327728435580226,
btc-updown-15m-1789396200,outcome_fast_follow,0.7,0.15,5.135445,-2.831566257765,offside_near_close,372.795604,high,1314,33072.31637,17532.055805027743,10.0,9.0,1.7742272530530312,
btc-updown-15m-1789735500,outcome_fast_follow,0.85,0.97,2.001856,0.24022272,,173.190387,medium,532,14596.466793,7183.393301005689,10.0,46.0,4.6632294356430455,
btc-updown-15m-1789735500,outcome_fast_follow,0.85,0.97,3.5,0.42,,173.382115,medium,532,14596.466793,7183.393301005689,10.0,46.0,4.6632294356430455,
btc-updown-15m-1789737300,outcome_fast_follow,0.78,0.97,1.81,0.3439,,540.743356,low,706,19048.806931,10236.700166994822,7.015000000000001,75.0,0.3693913560778669,
btc-updown-15m-1789737300,outcome_fast_follow,0.78,0.97,3.19,0.6061,,540.868441,low,706,19048.806931,10236.700166994822,7.015000000000001,75.0,0.3693913560778669,
btc-updown-15m-1789738200,outcome_fast_follow,0.67,0.97,9.83,2.949,,297.961524,low,867,26871.981588,14384.507585069445,7.38806,142.0,0.4238027738366901,
btc-updown-15m-1789738200,outcome_fast_follow,0.67,0.97,0.45,0.135,,298.515058,low,867,26871.981588,14384.507585069445,7.38806,142.0,0.4238027738366901,
btc-updown-15m-1789740000,outcome_fast_follow,0.76,0.97,4.44,0.9323999999999999,,436.30511,high,1276,37357.424285,22297.343453068795,10.0,43.0,0.3852748833513087,
btc-updown-15m-1789740000,outcome_fast_follow,0.76,0.97,0.68,0.1428,,437.110916,high,1276,37357.424285,22297.343453068795,10.0,43.0,0.3852748833513087,
btc-updown-15m-1789745400,outcome_fast_follow,0.81,0.97,5.774801,0.923968094533504,,294.435142,low,558,16330.782872,7835.399527945956,7.0697589999999995,99.0,3.0827601578941257,
btc-updown-15m-1789747200,unmatched_inventory_history,,0.0,9.98,,,,low,634,15156.644626,8174.716921045364,7.3162795,66.0,0.5834775129007131,
