observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,trades,mean_entry,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high
60,5,0,vwap_5s,0,all,45,0.6879596533241099,-1.4001670736704088,2.438774151988408
60,5,0,vwap_5s,0,development,29,0.6929496956987705,-1.7418833966596465,3.5181250436337903
60,5,0,vwap_5s,0,holdout,16,0.6789152015200376,-2.6695793734912083,2.5612227907692087
120,5,0,vwap_5s,0,all,60,0.7250287585947082,-1.2979073773776488,1.9208071121400716
120,5,0,vwap_5s,0,development,41,0.7272500679628203,-1.5191389211347126,2.6702778735190815
120,5,0,vwap_5s,0,holdout,19,0.7202354068003609,-2.2417816570788878,2.4090451604472576
180,5,0,vwap_5s,0,all,73,0.7485310477686228,-1.1302708512377841,1.3169447399033136
180,5,0,vwap_5s,0,development,44,0.7583849851956878,-1.6676212320053576,1.7794810651420567
180,5,0,vwap_5s,0,holdout,29,0.7335802461551448,-1.5642168436305486,1.8267338547706435
240,5,0,vwap_5s,0,all,78,0.7644255006154465,-0.9767933459908451,1.4160888384624628
240,5,0,vwap_5s,0,development,47,0.7721501754581976,-1.7760156862471972,1.3156854806394331
240,5,0,vwap_5s,0,holdout,31,0.7527138968215978,-1.033236609370622,2.4177416906427993
300,5,0,vwap_5s,0,all,91,0.7916967452816556,-1.3653696992766557,0.40951086916782337
300,5,0,vwap_5s,0,development,55,0.7927288089067018,-1.9545913766296823,0.2782105069730985
300,5,0,vwap_5s,0,holdout,36,0.7901199814100572,-1.3154708926994716,1.2900268745284642
