observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,markets_with_valid_btc,signal_markets,no_trade_markets,no_fill_markets,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high,method_note
60,5,0,vwap_5s,0,all,45,45,,0.7333333333333333,0.6879596533241099,0.6879596533241099,0.045373680009223386,30.1526317801765,4.5,25.65263178017651,0.5700584840039224,0.057005848400392245,1.2116553777242287,21.870967741935488,2,4.45007975091444,-10.1,-10.1,-10.1,-10.1,-10.1,200,47,153,2,-1.4001670736704088,2.438774151988408,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,5,0,vwap_5s,0,development,29,29,,0.7586206896551724,0.6929496956987705,0.6929496956987705,0.06567099395640187,30.04939453280167,2.9000000000000004,27.14939453280168,0.9361860183724716,0.09361860183724717,1.3840084092334042,20.199999999999996,2,4.447699751490985,-10.1,-10.1,-10.1,-10.1,-10.1,127,30,97,1,-1.7418833966596465,3.5181250436337903,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,5,0,vwap_5s,0,holdout,16,16,,0.6875,0.6789152015200376,0.6789152015200376,0.008584798479962373,0.10323724737482642,1.6,-1.4967627526251697,-0.0935476720390731,-0.009354767203907311,0.9703611336113827,21.87096774193548,2,4.454839749761348,-10.1,-10.1,-10.1,-10.1,-10.1,73,17,56,1,-2.6695793734912083,2.5612227907692087,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
120,5,0,vwap_5s,0,all,60,60,,0.75,0.7250287585947082,0.7250287585947082,0.024971241405291777,26.933785547897067,6.0,20.933785547897074,0.34889642579828456,0.034889642579828455,1.1381768022963503,29.479844830277628,2,3.8318619010643795,-10.1,-10.1,-10.1,-10.1,-10.1,200,66,134,6,-1.2979073773776488,1.9208071121400716,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
120,5,0,vwap_5s,0,development,41,41,,0.7560975609756098,0.7272500679628203,0.7272500679628203,0.028847493012789382,23.639729171396198,4.1000000000000005,19.539729171396203,0.4765787602779562,0.047657876027795615,1.1934626650633287,25.69694639112265,2,3.888378360367619,-10.1,-10.1,-10.1,-10.1,-10.1,127,45,82,4,-1.5191389211347126,2.6702778735190815,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
120,5,0,vwap_5s,0,holdout,19,19,,0.7368421052631579,0.7202354068003609,0.7202354068003609,0.01660669846279695,3.2940563765008672,1.9000000000000001,1.39405637650087,0.0733713882368879,0.007337138823688789,1.0276050767623934,27.615909090909092,2,3.706718312607205,-10.1,-10.1,-10.1,-10.1,-10.1,73,21,52,2,-2.2417816570788878,2.4090451604472576,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,all,73,73,,0.7671232876712328,0.7485310477686228,0.7485310477686228,0.018592239902610132,14.082611075646259,7.300000000000001,6.782611075646267,0.09291248048830503,0.009291248048830502,1.039502685356123,37.65796868995036,2,3.1871894834936834,-10.1,-10.1,-10.1,-10.1,-10.1,200,76,124,3,-1.1302708512377841,1.3169447399033136,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,development,44,44,,0.7727272727272727,0.7583849851956878,0.7583849851956878,0.014342287531585014,7.301017889891694,4.4,2.901017889891699,0.06593222477026589,0.0065932224770265885,1.0287229494048682,24.93251086131889,2,3.0559122908791676,-10.1,-10.1,-10.1,-10.1,-10.1,127,47,80,3,-1.6676212320053576,1.7794810651420567,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
180,5,0,vwap_5s,0,holdout,29,29,,0.7586206896551724,0.7335802461551448,0.7335802461551448,0.025040443500027557,6.781593185754565,2.9000000000000004,3.8815931857545682,0.13384804088808855,0.013384804088808856,1.054902308143629,19.239368935706217,1,3.3900724175342987,-10.1,-10.1,-10.1,-10.1,-10.1,73,29,44,0,-1.5642168436305486,1.8267338547706435,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
240,5,0,vwap_5s,0,all,78,78,,0.782051282051282,0.7644255006154465,0.7644255006154465,0.017625781435835586,21.53702394731706,7.800000000000001,13.737023947317066,0.1761156916322701,0.01761156916322701,1.0800059635836754,37.937774908292724,3,3.039951212251099,-10.1,-10.1,-10.1,-10.1,-10.1,200,85,115,7,-0.9767933459908451,1.4160888384624628,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
240,5,0,vwap_5s,0,development,47,47,,0.7659574468085106,0.7721501754581976,0.7721501754581976,-0.006192728649687014,-4.380584167639219,4.7,-9.080584167639216,-0.19320391846040885,-0.019320391846040886,0.9182665691481618,37.937774908292724,3,2.833872662010022,-10.1,-10.1,-10.1,-10.1,-10.1,127,51,76,4,-1.7760156862471972,1.3156854806394331,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
