observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,trades,win_rate,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high
60,5,0,vwap_5s,0,all,45,0.7333333333333333,-1.4001670736704088,2.438774151988408
60,5,0,vwap_5s,0,development,29,0.7586206896551724,-1.7418833966596465,3.5181250436337903
60,5,0,vwap_5s,0,holdout,16,0.6875,-2.6695793734912083,2.5612227907692087
120,5,0,vwap_5s,0,all,60,0.75,-1.2979073773776488,1.9208071121400716
120,5,0,vwap_5s,0,development,41,0.7560975609756098,-1.5191389211347126,2.6702778735190815
120,5,0,vwap_5s,0,holdout,19,0.7368421052631579,-2.2417816570788878,2.4090451604472576
180,5,0,vwap_5s,0,all,73,0.7671232876712328,-1.1302708512377841,1.3169447399033136
180,5,0,vwap_5s,0,development,44,0.7727272727272727,-1.6676212320053576,1.7794810651420567
180,5,0,vwap_5s,0,holdout,29,0.7586206896551724,-1.5642168436305486,1.8267338547706435
240,5,0,vwap_5s,0,all,78,0.782051282051282,-0.9767933459908451,1.4160888384624628
240,5,0,vwap_5s,0,development,47,0.7659574468085106,-1.7760156862471972,1.3156854806394331
240,5,0,vwap_5s,0,holdout,31,0.8064516129032258,-1.033236609370622,2.4177416906427993
300,5,0,vwap_5s,0,all,91,0.7692307692307693,-1.3653696992766557,0.40951086916782337
300,5,0,vwap_5s,0,development,55,0.7454545454545455,-1.9545913766296823,0.2782105069730985
300,5,0,vwap_5s,0,holdout,36,0.8055555555555556,-1.3154708926994716,1.2900268745284642
