slug,market_start_epoch,local_date,week,weekday_weekend,et_hour_block,winner,resolution_status,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,trade_print_realized_volatility,price_jump_count_5c,price_history_points,historical_bbo_spread,historical_l2_depth
btc-updown-15m-1785135600,1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,resolved,1295,28341.095858,13730.454139047608,10.0,1.87,44.0,15.0,1.4388888888888889,1.6389881158443427,40,2,,
btc-updown-15m-1785157200,1785157200,2026-07-27,2026-07-27,weekday,06-12,DOWN,resolved,1054,24840.694274,13456.907390042601,10.0,0.52,44.0,36.0,1.1711111111111112,3.2897297369095524,27,2,,
btc-updown-15m-1785243600,1785243600,2026-07-28,2026-07-27,weekday,06-12,DOWN,resolved,957,27062.055302,15295.82755903243,9.090908,1.71875,50.0,21.0,1.0633333333333332,3.2779162911565707,12,2,,
btc-updown-15m-1785265200,1785265200,2026-07-28,2026-07-27,weekday,12-18,UP,resolved,970,32480.58588,16563.520987972628,10.0,1.1,65.0,15.0,1.0777777777777777,0.3770525781915527,3,2,,
btc-updown-15m-1785286800,1785286800,2026-07-28,2026-07-27,weekday,18-24,DOWN,resolved,915,24550.318376,10724.905492971873,10.0,0.02,50.0,84.0,1.0166666666666666,3.6828991030564295,12,2,,
btc-updown-15m-1785351600,1785351600,2026-07-29,2026-07-27,weekday,12-18,DOWN,resolved,804,16609.269912,9338.201451068628,6.4072215,0.02,42.322579,24.0,0.8933333333333333,5.437833063314109,2,2,,
btc-updown-15m-1785373200,1785373200,2026-07-29,2026-07-27,weekday,18-24,UP,resolved,879,21596.014251,12078.632608992179,9.120476,1.28205,50.89,24.0,0.9766666666666667,0.314106029708869,2,2,,
btc-updown-15m-1785394800,1785394800,2026-07-30,2026-07-27,weekday,00-06,UP,resolved,737,13371.46965,7175.536862960771,7.290314,1.075257,40.0,35.0,0.8188888888888889,0.4292205103795889,11,2,,
btc-updown-15m-1785416400,1785416400,2026-07-30,2026-07-27,weekday,06-12,DOWN,resolved,900,19526.585834,11490.616677968643,8.33,1.492536,50.0,20.0,1.0,3.314039369004047,13,2,,
btc-updown-15m-1785459600,1785459600,2026-07-30,2026-07-27,weekday,18-24,UP,resolved,464,34116.96792,18776.554917009013,10.407608499999998,1.0204,101.132454,162.0,0.5155555555555555,0.27407508950411547,2,2,,
btc-updown-15m-1785481200,1785481200,2026-07-31,2026-07-27,weekday,00-06,DOWN,resolved,782,17995.73827,9961.264791940419,10.0,1.27,50.0,64.0,0.8688888888888889,3.829630616638089,3,2,,
btc-updown-15m-1785524400,1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,resolved,812,17936.497292,9558.426226051595,7.99,1.188233,42.25,18.0,0.9022222222222223,2.5142852097438264,6,2,,
