market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785135600,False,False,SUCCESS_PUBLIC_HISTORY,1297,28356.335429,13744.754135047297,10.0,1.8837135999999999,44.0,15.0,1.441111111111111,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.441111111111111,28356.335429,,2,1785135600,weekday,2026-07-27,2026-09-20,2026-07-27,3,00-06,0,,,,,,
btc-updown-15m-1785157200,False,False,SUCCESS_PUBLIC_HISTORY,1054,24840.694274,13456.907390042601,10.0,0.571000000000002,44.38888780000003,36.0,1.1711111111111112,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.1711111111111112,24840.694274,,2,1785157200,weekday,2026-07-27,2026-09-20,2026-07-27,9,06-12,0,,,,,,
btc-updown-15m-1785243600,False,False,SUCCESS_PUBLIC_HISTORY,957,27062.055302,15295.82755903243,9.090908,1.7675000000000007,50.0,21.0,1.0633333333333332,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0633333333333332,27062.055302,,2,1785243600,weekday,2026-07-27,2026-09-20,2026-07-28,9,06-12,0,,,,,,
btc-updown-15m-1785265200,False,False,SUCCESS_PUBLIC_HISTORY,970,32480.58588,16563.520987972628,10.0,1.1,65.0,15.0,1.0777777777777777,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0777777777777777,32480.58588,,2,1785265200,weekday,2026-07-27,2026-09-20,2026-07-28,15,12-18,0,,,,,,
btc-updown-15m-1785286800,False,False,SUCCESS_PUBLIC_HISTORY,915,24550.318376,10724.905492971873,10.0,0.02,50.0,84.0,1.0166666666666666,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0166666666666666,24550.318376,,2,1785286800,weekday,2026-07-27,2026-09-20,2026-07-28,21,18-24,0,,,,,,
btc-updown-15m-1785351600,False,False,SUCCESS_PUBLIC_HISTORY,804,16609.269912,9338.201451068628,6.4072215,0.02,42.69677240000002,24.0,0.8933333333333333,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8933333333333333,16609.269912,,2,1785351600,weekday,2026-07-27,2026-09-20,2026-07-29,15,12-18,0,,,,,,
btc-updown-15m-1785373200,False,False,SUCCESS_PUBLIC_HISTORY,886,21866.700352,12343.93279099252,9.045454,1.28205,50.955200000000005,24.0,0.9844444444444445,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9844444444444445,21866.700352,,2,1785373200,weekday,2026-07-27,2026-09-20,2026-07-29,21,18-24,0,,,,,,
btc-updown-15m-1785394800,False,False,SUCCESS_PUBLIC_HISTORY,737,13371.46965,7175.536862960771,7.290314,1.075257,40.0,35.0,0.8188888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8188888888888889,13371.46965,,2,1785394800,weekday,2026-07-27,2026-09-20,2026-07-30,3,00-06,0,,,,,,
btc-updown-15m-1785416400,False,False,SUCCESS_PUBLIC_HISTORY,900,19526.585834,11490.616677968643,8.33,1.4992536,50.0,20.0,1.0,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0,19526.585834,,2,1785416400,weekday,2026-07-27,2026-09-20,2026-07-30,9,06-12,0,,,,,,
btc-updown-15m-1785459600,False,False,SUCCESS_PUBLIC_HISTORY,464,34116.96792,18776.554917009013,10.407608499999998,1.0204,102.43973619999997,162.0,0.5155555555555555,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5155555555555555,34116.96792,,2,1785459600,weekday,2026-07-27,2026-09-20,2026-07-30,21,18-24,0,,,,,,
btc-updown-15m-1785481200,False,False,SUCCESS_PUBLIC_HISTORY,782,17995.73827,9961.264791940419,10.0,1.2710000000000001,50.0,64.0,0.8688888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8688888888888889,17995.73827,,2,1785481200,weekday,2026-07-27,2026-09-20,2026-07-31,3,00-06,0,,,,,,
btc-updown-15m-1785524400,False,False,SUCCESS_PUBLIC_HISTORY,812,17936.497292,9558.426226051595,7.99,1.1916317000000003,43.248999999999974,18.0,0.9022222222222223,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9022222222222223,17936.497292,,2,1785524400,weekday,2026-07-27,2026-09-20,2026-07-31,15,12-18,0,,,,,,
btc-updown-15m-1785562200,True,True,SUCCESS_PUBLIC_HISTORY,693,27179.093961,11931.410876028185,7.377048,1.85185,50.0,26.0,0.77,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.77,27179.093961,,2,1785562200,weekend,2026-07-27,2026-09-20,2026-08-01,1,00-06,0,,,,,,
btc-updown-15m-1785573000,True,True,SUCCESS_PUBLIC_HISTORY,836,14275.611514,7734.04918001674,6.0,2.0,41.0933325,12.0,0.9288888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9288888888888889,14275.611514,,2,1785573000,weekend,2026-07-27,2026-09-20,2026-08-01,4,00-06,0,,,,,,
btc-updown-15m-1785583800,True,True,SUCCESS_PUBLIC_HISTORY,853,15051.38037,8401.208691976808,7.0,2.0,38.19933260000007,24.0,0.9477777777777778,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9477777777777778,15051.38037,,2,1785583800,weekend,2026-07-27,2026-09-20,2026-08-01,7,06-12,0,,,,,,
btc-updown-15m-1785594600,True,True,SUCCESS_PUBLIC_HISTORY,790,15822.988303,7638.944816038043,8.062257500000001,2.0,40.8397603,20.0,0.8777777777777778,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8777777777777778,15822.988303,,2,1785594600,weekend,2026-07-27,2026-09-20,2026-08-01,10,06-12,0,,,,,,
btc-updown-15m-1785605400,True,True,SUCCESS_PUBLIC_HISTORY,1468,25475.083353,13504.005091984847,6.0,1.3913489,39.432999999999964,9.0,1.6311111111111112,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.6311111111111112,25475.083353,,2,1785605400,weekend,2026-07-27,2026-09-20,2026-08-01,13,12-18,0,,,,,,
btc-updown-15m-1785627000,True,True,SUCCESS_PUBLIC_HISTORY,798,18751.941058,10472.821146969445,5.0,2.0,47.465179300000216,30.0,0.8866666666666667,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8866666666666667,18751.941058,,2,1785627000,weekend,2026-07-27,2026-09-20,2026-08-01,19,18-24,0,,,,,,
