market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message,market_start_epoch,sample_group,weekend_et,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index
btc-updown-15m-1785135600,0x9798deb8ade63800c9c1a82be480053a1666033e1eae0788c39d7bbd1b5ab303,"[""25629757613835111152852874875126254161378121178654599987122704370782862063718"", ""66239469992374493499267170924742274300869984866180225636209795401471281569240""]",GAMMA,success,success,1359,1297,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785135600,weekday,False,2026-07-27,2026-09-20,2026-07-27,3,00-06,0
btc-updown-15m-1785157200,0x6870ed964792427723569dbd7a60385c7b258f46ed0fa2b99c4ded07f1d0beb8,"[""62091492839407631275003147438923484709421048422902520970288523004524142925799"", ""11684203618677767164460151429654702587265739843865891663267024469724170186950""]",GAMMA,success,success,1091,1054,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785157200,weekday,False,2026-07-27,2026-09-20,2026-07-27,9,06-12,0
btc-updown-15m-1785243600,0x05192d5d254565e0d7d55a9459b291d4f3b915f74c87612578ed6c884e5874cf,"[""21739911953937608137579901623458914934207125632142381430717978765530564685234"", ""66228971622458158469315003371093097931798138367642998056511493369455284476149""]",GAMMA,success,success,1010,957,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785243600,weekday,False,2026-07-27,2026-09-20,2026-07-28,9,06-12,0
btc-updown-15m-1785265200,0x6ac310b386ec44cd7e6dde87b78715542f8e83ba7c655e833d47b94ae96a8b8f,"[""75914199988266429049450977047793659720356900572084161779637780121646138090242"", ""106951746683502986571876597020013199475164104271805316912040272880415980322572""]",GAMMA,success,success,990,970,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785265200,weekday,False,2026-07-27,2026-09-20,2026-07-28,15,12-18,0
btc-updown-15m-1785286800,0x5aa5e23c4ac39bf9a1b90d47c8491d13e4aaa5be730d98362621d9b6f7ae16a6,"[""25814398844138546864718424960811978244154533189715160276795628877394607554403"", ""44329429392104966472870355089251953824641953257592457388567190002148201514946""]",GAMMA,success,success,956,915,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785286800,weekday,False,2026-07-27,2026-09-20,2026-07-28,21,18-24,0
btc-updown-15m-1785351600,0x2ce667a6da5d34f70d2cf54af47747a747ec999a57cc06fe830528bc1fb1c401,"[""67369589048070507430604772472013235830845748961809170268102573674043552490833"", ""93869486680364962530311068789025943164373793272666737513379215294576597374095""]",GAMMA,success,success,837,804,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785351600,weekday,False,2026-07-27,2026-09-20,2026-07-29,15,12-18,0
btc-updown-15m-1785373200,0xe323ff2ddd57bae6e137aab9e53b064570e390913b3edc3e135543ee6e8817e1,"[""45434853057770987312629722941584270367104312922289896196014375583240454027098"", ""58971100885431207485232984224043624850098507972940066600654233102393252650957""]",GAMMA,success,success,932,886,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785373200,weekday,False,2026-07-27,2026-09-20,2026-07-29,21,18-24,0
btc-updown-15m-1785394800,0x3377e35db4eda7bf9e9278b4914699f365527741673043358c7cd27e1075656e,"[""52840024847996799597732463636095984413021428326410854059932248541556286247490"", ""43606257571240340214790769697420957909574850331007388854076541749135657955062""]",GAMMA,success,success,780,737,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785394800,weekday,False,2026-07-27,2026-09-20,2026-07-30,3,00-06,0
btc-updown-15m-1785416400,0x8a5896ecdc66f19383e1dd053951654656ea20ef458ca73971c2098fce4f5f6e,"[""69812079331485893712989376128914952806683871214393504704256152905970648355715"", ""110012640094180833996187494042975404871497391470234715799267782196219151979082""]",GAMMA,success,success,950,900,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785416400,weekday,False,2026-07-27,2026-09-20,2026-07-30,9,06-12,0
btc-updown-15m-1785459600,0xedf35e9c658bf56376e6a8b185e8ea1c3689409cca60f141d13619ae975d5fee,"[""62734206157898537259671474113488905343791020939425745087374611419794096815291"", ""86551950572013460917075869783593648314353862051641432054514178506332568509720""]",GAMMA,success,success,488,464,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785459600,weekday,False,2026-07-27,2026-09-20,2026-07-30,21,18-24,0
btc-updown-15m-1785481200,0xd5d1b1d48f65bb393bbeb88a6491436110b9feef331df8013bef607a1897e2ff,"[""101923030786718085879276376849607742902332499098368960700820776180596975990388"", ""82121043018279731048136387969191741592950119166091598143806102821480260994289""]",GAMMA,success,success,859,782,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785481200,weekday,False,2026-07-27,2026-09-20,2026-07-31,3,00-06,0
btc-updown-15m-1785524400,0x31810421fd4879dbb0b49d1dbe3a7d492184c87419ac410a02ba7d96e6091b53,"[""30078983075452755174509139978657763877952240374485525464258969968130675836072"", ""69910114888543326396880031917101376140977485477012782601452097297384982139988""]",GAMMA,success,success,834,812,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785524400,weekday,False,2026-07-27,2026-09-20,2026-07-31,15,12-18,0
btc-updown-15m-1785562200,0x06aa0dd4278398e76f4b6d7fa681c7f7ef1ef259166f4ab8ce1e899398f0b6a9,"[""102687398846492687951515393980279606598084805029272876291942834084967292379960"", ""80042635383624387538081297039127522547963276454172357658088803645756240801478""]",GAMMA,success,success,762,693,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785562200,weekend,True,2026-07-27,2026-09-20,2026-08-01,1,00-06,0
btc-updown-15m-1785573000,0x4d95ee5d0db127a4dd80ce3f6b370ddf1ba717126ef82ed913cb3ef2bd911291,"[""114762628742527953102554285685860189058386991374632966939311927093417734061149"", ""33194828015326739966265361416352326835854026340927313581046561812138694761194""]",GAMMA,success,success,903,836,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785573000,weekend,True,2026-07-27,2026-09-20,2026-08-01,4,00-06,0
btc-updown-15m-1785583800,0x21917859a27651aa944be0bca75059cd9d75506ec13c0ff1670b00d782a2137a,"[""23377529784656614443676563546399639463216709580300810378019178157246433293203"", ""2237380487032495265673765212389878160420340321394932399150590773039742196899""]",GAMMA,success,success,904,853,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785583800,weekend,True,2026-07-27,2026-09-20,2026-08-01,7,06-12,0
btc-updown-15m-1785594600,0xf929e0c9d973ff8b493fddd4f3111a4215a40c3218aad03d679de3ec2e77625c,"[""77833434535485864076090055046229445310327096846812854784515499424194346355401"", ""11374625350925018317774390939083187964626358830717980370678920055431840003132""]",GAMMA,success,success,884,790,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,False,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785594600,weekend,True,2026-07-27,2026-09-20,2026-08-01,10,06-12,0
