weekend_et,resolution_bin,observations,mean_public_trade_size,mean_local_spread
False,T-10m_to_T-5m,44671,24.711716782061135,0.010286712812160696
False,T-15m_to_T-10m,43751,22.566518395485858,0.010156704026567041
False,T-15s_to_settlement,678,91.98949958677686,0.004064220183486239
False,T-2m_to_T-1m,8928,45.83875101749623,0.008963446475195822
False,T-30s_to_T-15s,1095,56.64315608333333,0.005021276595744681
False,T-5m_to_T-2m,26993,37.741365374726506,0.00981996607705355
False,T-60s_to_T-30s,3459,54.18023693757316,0.006887276785714286
True,T-10m_to_T-5m,28561,26.6816284068485,
True,T-15m_to_T-10m,24892,22.12331992089828,
True,T-15s_to_settlement,463,51.1170751987041,
True,T-2m_to_T-1m,6782,32.29335840504276,
True,T-30s_to_T-15s,1263,40.744277412509895,
True,T-5m_to_T-2m,19292,29.465012735019698,
True,T-60s_to_T-30s,3964,34.976093527245204,
