metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,America/New_York,100,100,928.96,852.17,-76.79000000000008,-8.266233207027222,"[-213.19549999999995, 46.70600000000004]",0.25487256371814093,-0.1571,832.5,741.5,False
public_volume_shares,America/New_York,100,100,27199.37988995,23139.72713717,-4059.652752779999,-14.925534218815095,"[-10700.7155681155, 1273.023258273]",0.21639180409795103,-0.3024,23464.6646605,19883.721835,False
median_trade_size,America/New_York,98,99,8.958090852040817,8.727755712121212,-0.23033513991960497,-2.571252555081314,"[-0.7287009384443923, 0.2732455816648642]",0.39430284857571213,-0.0847247990105133,9.067727,8.914284,False
max_no_trade_interval_sec,America/New_York,100,100,61.44,47.56,-13.879999999999995,-22.591145833333325,"[-46.080999999999996, 16.936749999999993]",0.33683158420789605,-0.0799,35.5,31.5,False
realized_volatility,America/New_York,83,88,0.6416515511653678,0.6746756866698741,0.033024135504506336,5.146739760003368,"[-0.03962539779759634, 0.10371444762355173]",0.36231884057971014,0.15443592552026286,0.5584353140695886,0.6173734635056016,False
spread,America/New_York,223,0,0.00998206278026906,,,,,,,0.01,,True
quote_age_sec,America/New_York,223,0,1.2156374683856501,,,,,,,1.0528670999999998,,True
depth_5c,America/New_York,33,0,221.42333333333335,,,,,,,234.29500000000002,,True
entry_slippage,America/New_York,31,0,-0.025483870967741937,,,,,,,-0.020000000000000018,,True
exit_slippage,America/New_York,28,0,0.03426677957084466,,,,,,,0.0,,True
fill_rate,America/New_York,59,0,0.9954882075182692,,,,,,,1.0,,True
submit_to_fill_sec,America/New_York,52,0,135.78634665384615,,,,,,,4.585163,,True
pnl,America/New_York,32,0,0.19088567496763026,,,,,,,0.673949295,,True
hold_sec,America/New_York,28,0,346.87474271428573,,,,,,,340.3129325,,True
order_fill_probability,America/New_York,89,0,0.5842696629213483,,,,,,,,,True
partial_fill_probability,America/New_York,89,0,0.1348314606741573,,,,,,,,,True
cancel_probability,America/New_York,89,0,0.21348314606741572,,,,,,,,,True
cancel_latency_sec,America/New_York,19,0,138.11083,,,,,,,,,True
