metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,UTC,101,99,938.049504950495,842.1212121212121,-95.9282928292829,-10.226357172305683,"[-221.827592759276, 24.849649964996463]",0.1489255372313843,-0.19561956195619562,866.0,741.0,False
public_volume_shares,UTC,101,99,27350.84212092079,22944.198469686868,-4406.643651233924,-16.111546517477286,"[-10414.729437988293, 1263.1179092784644]",0.17341329335332334,-0.3163316331633163,23593.32989,19807.952363,False
median_trade_size,UTC,99,98,8.988848732323232,8.694333617346938,-0.2945151149762939,-3.2764497851347683,"[-0.8056929705833845, 0.23651994178648766]",0.2863568215892054,-0.08792001649144507,9.09,8.8207775,False
max_no_trade_interval_sec,UTC,101,99,61.45544554455446,47.4040404040404,-14.051405140514056,-22.86437762513162,"[-46.01983448344834, 15.0548904890489]",0.31134432783608196,-0.07900790079007901,36.0,32.0,False
realized_volatility,UTC,83,88,0.6527657041754213,0.664193019626301,0.011427315450879605,1.7505998519506591,"[-0.06383125193622304, 0.07922110127054437]",0.7666166916541729,0.07790251916757941,0.5602865338378212,0.6137896465328982,False
spread,UTC,223,0,0.00998206278026906,,,,,,,0.01,,True
quote_age_sec,UTC,223,0,1.2156374683856501,,,,,,,1.0528670999999998,,True
depth_5c,UTC,33,0,221.42333333333335,,,,,,,234.29500000000002,,True
entry_slippage,UTC,31,0,-0.025483870967741937,,,,,,,-0.020000000000000018,,True
exit_slippage,UTC,28,0,0.03426677957084466,,,,,,,0.0,,True
fill_rate,UTC,59,0,0.9954882075182692,,,,,,,1.0,,True
submit_to_fill_sec,UTC,52,0,135.78634665384615,,,,,,,4.585163,,True
pnl,UTC,32,0,0.19088567496763026,,,,,,,0.673949295,,True
hold_sec,UTC,28,0,346.87474271428573,,,,,,,340.3129325,,True
order_fill_probability,UTC,89,0,0.5842696629213483,,,,,,,,,True
partial_fill_probability,UTC,89,0,0.1348314606741573,,,,,,,,,True
cancel_probability,UTC,89,0,0.21348314606741572,,,,,,,,,True
cancel_latency_sec,UTC,19,0,138.11083,,,,,,,,,True
