slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-15m_to_T-10m,235,4913.115193,2400.9455350076214,10.0,15.0,95
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-10m_to_T-5m,456,10399.291692,5021.61244000527,10.0,7.0,158
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-5m_to_T-2m,358,8024.493871,3768.5867630344246,13.0,8.0,120
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-2m_to_T-1m,100,2151.392211,1090.097076008709,10.0,6.0,30
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-60s_to_T-30s,92,2070.638037,988.3490659945627,9.3135285,3.0,27
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-30s_to_T-15s,22,349.432342,216.80629199719286,8.920633500000001,3.0,6
btc-updown-15m-1785135600,weekday,2026-07-27,00-06,T-15s_to_settlement,32,432.732512,244.05696699982698,8.96,4.0,9
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-15m_to_T-10m,319,7979.666032,3758.172192003814,9.71846,8.0,102
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-10m_to_T-5m,339,6891.876553,3322.9843970175907,9.93,13.0,115
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-5m_to_T-2m,288,5448.574015,2813.0195430017598,10.0,11.0,90
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-2m_to_T-1m,95,4355.693674,3398.0281620194364,10.0,5.0,22
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-60s_to_T-30s,1,1.78,1.7622,1.78,29.0,0
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-30s_to_T-15s,5,64.114,64.049886,10.01,7.0,0
btc-updown-15m-1785157200,weekday,2026-07-27,06-12,T-15s_to_settlement,7,98.99,98.89101,6.33,8.0,0
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-15m_to_T-10m,229,5110.719934,2643.1494290004784,9.054544,21.0,45
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-10m_to_T-5m,379,9918.558087,5229.491258984399,9.0,9.0,121
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-5m_to_T-2m,262,9170.464867,5507.999327046279,10.1,8.0,89
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-2m_to_T-1m,53,2110.514963,1479.7899710011084,5.1,9.0,6
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-60s_to_T-30s,18,514.765451,256.38629500016486,6.0,7.0,2
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-30s_to_T-15s,3,67.84,10.0723,5.09,6.0,1
btc-updown-15m-1785243600,weekday,2026-07-27,06-12,T-15s_to_settlement,13,169.19199999999998,168.938978,10.0,10.0,0
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-15m_to_T-10m,272,10349.092691,4118.700517980534,6.924657,15.0,85
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-10m_to_T-5m,337,11720.491758,5713.44743198424,9.98,10.0,114
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-5m_to_T-2m,209,6112.760718,3720.05992000424,14.777776,6.0,59
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-2m_to_T-1m,82,2072.91947,1275.068110004432,15.0,7.0,18
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-60s_to_T-30s,38,1132.311043,752.1649099991837,15.0,3.0,6
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-30s_to_T-15s,31,1091.9002,982.981198,5.53,3.0,2
btc-updown-15m-1785265200,weekday,2026-07-27,12-18,T-15s_to_settlement,1,1.11,1.0989,1.11,11.0,0
btc-updown-15m-1785286800,weekday,2026-07-27,18-24,T-15m_to_T-10m,352,7877.204279,4046.062908967879,10.0,7.0,126
btc-updown-15m-1785286800,weekday,2026-07-27,18-24,T-10m_to_T-5m,340,6401.636914,3212.984626009678,8.0,8.0,130
