time_to_resolution_bin,metric,weekday_n,weekday_mean,weekend_n,weekend_mean,weekend_minus_weekday,market_level_permutation_p,note
T-15m_to_T-10m,trade_count,100,341.15,100,248.92,-92.22999999999999,0.0004997501249375312,descriptive segment comparison; markets are unit
T-15m_to_T-10m,volume_shares,100,7698.56775062,100,5506.93679471,-2191.63095591,0.0004997501249375312,descriptive segment comparison; markets are unit
T-15m_to_T-10m,volume_usdc_estimate,100,3747.073572851737,100,2724.7751334100412,-1022.2984394416958,0.0004997501249375312,descriptive segment comparison; markets are unit
T-15m_to_T-10m,median_trade_size,98,8.17969287755102,99,8.507131459595959,0.32743858204493925,0.2813593203398301,descriptive segment comparison; markets are unit
T-15m_to_T-10m,max_no_trade_interval_sec,100,20.52,100,20.78,0.26000000000000156,0.9215392303848076,descriptive segment comparison; markets are unit
T-15m_to_T-10m,price_jump_count_5c,100,103.88,100,73.76,-30.11999999999999,0.0004997501249375312,descriptive segment comparison; markets are unit
T-10m_to_T-5m,trade_count,100,299.35,100,285.61,-13.740000000000009,0.6046976511744128,descriptive segment comparison; markets are unit
T-10m_to_T-5m,volume_shares,100,7397.45241871,100,7620.53988928,223.08747057000073,0.9700149925037481,descriptive segment comparison; markets are unit
T-10m_to_T-5m,volume_usdc_estimate,100,3880.7615779674757,100,3920.7443521140863,39.98277414661061,0.991504247876062,descriptive segment comparison; markets are unit
T-10m_to_T-5m,median_trade_size,98,9.030111025510204,99,8.433844843434343,-0.5962661820758601,0.12743628185907047,descriptive segment comparison; markets are unit
T-10m_to_T-5m,max_no_trade_interval_sec,100,18.64,100,15.93,-2.710000000000001,0.6756621689155422,descriptive segment comparison; markets are unit
T-10m_to_T-5m,price_jump_count_5c,100,93.0,100,86.13,-6.8700000000000045,0.15442278860569716,descriptive segment comparison; markets are unit
T-5m_to_T-2m,trade_count,100,187.39,100,192.92,5.530000000000001,0.8000999500249875,descriptive segment comparison; markets are unit
T-5m_to_T-2m,volume_shares,100,7072.35445757,100,5684.39025684,-1387.96420073,0.17491254372813594,descriptive segment comparison; markets are unit
T-5m_to_T-2m,volume_usdc_estimate,100,3853.4816614517094,100,3165.7956096635867,-687.6860517881228,0.17041479260369816,descriptive segment comparison; markets are unit
T-5m_to_T-2m,median_trade_size,98,11.681381515306123,99,10.736057237373737,-0.9453242779323858,0.2353823088455772,descriptive segment comparison; markets are unit
T-5m_to_T-2m,max_no_trade_interval_sec,100,18.84,100,18.25,-0.5899999999999999,0.8780609695152424,descriptive segment comparison; markets are unit
T-5m_to_T-2m,price_jump_count_5c,100,55.45,100,50.7,-4.75,0.3633183408295852,descriptive segment comparison; markets are unit
T-2m_to_T-1m,trade_count,100,66.3,100,67.82,1.519999999999996,0.9035482258870565,descriptive segment comparison; markets are unit
T-2m_to_T-1m,volume_shares,100,3039.10919246,100,2190.13556703,-848.9736254300001,0.12043978010994502,descriptive segment comparison; markets are unit
T-2m_to_T-1m,volume_usdc_estimate,100,1783.925567468918,100,1187.6444701783473,-596.2810972905706,0.037481259370314844,descriptive segment comparison; markets are unit
T-2m_to_T-1m,median_trade_size,95,60.5337757,95,24.151940589473686,-36.38183511052631,0.12343828085957022,descriptive segment comparison; markets are unit
T-2m_to_T-1m,max_no_trade_interval_sec,100,18.41,100,17.06,-1.3500000000000014,0.5467266366816592,descriptive segment comparison; markets are unit
T-2m_to_T-1m,price_jump_count_5c,100,15.61,100,15.74,0.13000000000000078,0.967016491754123,descriptive segment comparison; markets are unit
T-60s_to_T-30s,trade_count,100,25.63,100,39.64,14.010000000000002,0.07546226886556721,descriptive segment comparison; markets are unit
T-60s_to_T-30s,volume_shares,100,1388.63947271,100,1386.45234742,-2.18712529000004,0.9945027486256871,descriptive segment comparison; markets are unit
T-60s_to_T-30s,volume_usdc_estimate,100,798.3651676265957,100,784.5504997112201,-13.814667915375594,0.9395302348825587,descriptive segment comparison; markets are unit
T-60s_to_T-30s,median_trade_size,77,91.1852312012987,88,115.18967211931819,24.004440918019483,0.8390804597701149,descriptive segment comparison; markets are unit
T-60s_to_T-30s,max_no_trade_interval_sec,100,16.8,100,14.15,-2.6500000000000004,0.05297351324337831,descriptive segment comparison; markets are unit
T-60s_to_T-30s,price_jump_count_5c,100,4.29,100,8.22,3.9300000000000006,0.009495252373813094,descriptive segment comparison; markets are unit
T-30s_to_T-15s,trade_count,100,6.72,100,12.63,5.910000000000001,0.10744627686156921,descriptive segment comparison; markets are unit
T-30s_to_T-15s,volume_shares,100,380.64200888,100,514.60022372,133.95821484000004,0.32083958020989506,descriptive segment comparison; markets are unit
T-30s_to_T-15s,volume_usdc_estimate,100,165.52195712981379,100,334.5333785700401,169.01142144022631,0.0399800099950025,descriptive segment comparison; markets are unit
T-30s_to_T-15s,median_trade_size,52,151.9564113173077,57,105.7334896140351,-46.222921703272604,0.4542728635682159,descriptive segment comparison; markets are unit
T-30s_to_T-15s,max_no_trade_interval_sec,100,11.97,100,10.37,-1.6000000000000014,0.01199400299850075,descriptive segment comparison; markets are unit
T-30s_to_T-15s,price_jump_count_5c,100,0.88,100,2.26,1.38,0.01199400299850075,descriptive segment comparison; markets are unit
T-15s_to_settlement,trade_count,100,2.27,100,4.33,2.06,0.1329335332333833,descriptive segment comparison; markets are unit
T-15s_to_settlement,volume_shares,100,208.31413228,100,230.9394298,22.625297520000004,0.8180909545227386,descriptive segment comparison; markets are unit
T-15s_to_settlement,volume_usdc_estimate,100,45.827146550665155,100,136.92136859006374,91.09422203939857,0.010994502748625687,descriptive segment comparison; markets are unit
T-15s_to_settlement,median_trade_size,44,259.4886687727273,53,87.08014353773585,-172.40852523499143,0.14742628685657172,descriptive segment comparison; markets are unit
T-15s_to_settlement,max_no_trade_interval_sec,100,12.51,100,11.75,-0.7599999999999998,0.15942028985507245,descriptive segment comparison; markets are unit
T-15s_to_settlement,price_jump_count_5c,100,0.46,100,0.88,0.42,0.255872063968016,descriptive segment comparison; markets are unit
