weekday_weekend,et_hour_block,time_to_resolution_bin,n_market_segments,trade_count_mean,trade_count_p10,trade_count_p95,volume_shares_mean,volume_shares_p10,volume_shares_p95,volume_usdc_estimate_mean,volume_usdc_estimate_p10,volume_usdc_estimate_p95,median_trade_size_mean,median_trade_size_p10,median_trade_size_p95,max_no_trade_interval_sec_mean,max_no_trade_interval_sec_p10,max_no_trade_interval_sec_p95,price_jump_count_5c_mean,price_jump_count_5c_p10,price_jump_count_5c_p95
weekday,00-06,T-10m_to_T-5m,25,268.44,152.0,405.0,6281.46625836,2828.555408,10399.291692,3269.739531001354,1619.233340003796,5249.17548899223,9.545336270833333,6.1803135,13.58,26.36,9.0,27.0,83.96,38.0,120.0
weekday,00-06,T-15m_to_T-10m,25,326.8,223.0,525.0,7066.03018364,3664.423273,12848.352338,3417.399282724242,1758.6534090075313,6860.16946400676,8.41692125,6.4,10.0,22.28,6.0,16.0,103.16,66.0,158.0
weekday,00-06,T-15s_to_settlement,25,3.92,0.0,3.0,90.0924712,0.0,59.0,46.77300983976065,0.0,58.941,16.733060857142856,3.55,13.15,13.12,7.0,15.0,1.12,0.0,1.0
weekday,00-06,T-2m_to_T-1m,25,46.24,0.0,140.0,2219.39447916,0.0,4165.607,1151.7905884022412,0.0,2220.747728000918,103.05976209090909,5.005,102.36,24.72,5.0,60.0,11.92,0.0,41.0
weekday,00-06,T-30s_to_T-15s,25,10.24,0.0,11.0,315.79851312,0.0,349.432342,76.08615812001615,0.0,216.80629199719286,18.8244541875,1.24,20.0,13.16,8.0,15.0,1.28,0.0,2.0
weekday,00-06,T-5m_to_T-2m,25,137.24,23.0,255.0,5163.4347852,1678.849186,8024.493871,3411.7439033991236,875.0234449992421,6359.394464093458,11.623356520833333,6.34,17.5175,24.32,8.0,45.0,39.64,5.0,82.0
weekday,00-06,T-60s_to_T-30s,25,15.36,0.0,58.0,946.66446096,0.0,2070.638037,473.2572512399444,0.0,1751.5435880235023,88.09676389285714,5.15,502.55,20.04,6.0,30.0,3.2,0.0,13.0
weekday,06-12,T-10m_to_T-5m,25,315.24,180.0,467.0,7532.39502072,4232.663799,11103.02287,3974.2052321201336,2384.5707130006945,5947.327303024017,9.30192542,6.0,14.0107,11.16,7.0,17.0,106.2,63.0,167.0
weekday,06-12,T-15m_to_T-10m,25,338.96,244.0,442.0,7144.03918,5043.990494,10206.060906,3577.6806242834914,2643.1494290004784,5432.422420024846,8.03626708,6.0,10.0,12.0,8.0,17.0,108.52,85.0,137.0
weekday,06-12,T-15s_to_settlement,25,1.76,0.0,7.0,251.32927999999998,0.0,327.44,64.71002512315904,0.0,168.938978,208.57846153846154,2.46,107.44,11.76,8.0,15.0,0.04,0.0,0.0
