metric,week,weekday_mean,weekend_mean,weekend_minus_weekday,weekday_n,weekend_n,paired_weeks,median_weekly_difference,bootstrap_low,bootstrap_high,paired_sign_flip_p_two_sided,weeks_weekend_lower,note
trade_count,2026-07-27,880.75,855.25,-25.5,12,12,,,,,,,
trade_count,2026-08-03,807.0,738.4615384615385,-68.53846153846155,13,13,,,,,,,
trade_count,2026-08-10,961.9166666666666,803.9166666666666,-158.0,12,12,,,,,,,
trade_count,2026-08-17,1201.2307692307693,1028.6153846153845,-172.61538461538476,13,13,,,,,,,
trade_count,2026-08-24,885.1666666666666,884.0,-1.1666666666666288,12,12,,,,,,,
trade_count,2026-08-31,770.4615384615385,1156.1538461538462,385.69230769230774,13,13,,,,,,,
trade_count,2026-09-07,1123.0,607.6666666666666,-515.3333333333334,12,12,,,,,,,
trade_count,2026-09-14,811.3846153846154,721.1538461538462,-90.23076923076917,13,13,,,,,,,
trade_count,SUMMARY,,,,,,8,-79.38461538461536,-247.3125,91.40705128205128,0.4140625,7,exact paired sign-flip across week blocks; low power with 8 weeks
volume_shares,2026-07-27,23202.274401583334,17890.1496285,-5312.124773083335,12,12,,,,,,,
volume_shares,2026-08-03,21972.27680092308,17791.081932538462,-4181.194868384617,13,13,,,,,,,
volume_shares,2026-08-10,26013.596592416667,17439.846508083334,-8573.750084333333,12,12,,,,,,,
volume_shares,2026-08-17,33629.362030846154,23434.61841346154,-10194.743617384614,13,13,,,,,,,
volume_shares,2026-08-24,22885.328856833334,21969.729883666667,-915.5989731666668,12,12,,,,,,,
volume_shares,2026-08-31,22434.88347076923,38254.28111053846,15819.397639769231,13,13,,,,,,,
volume_shares,2026-09-07,40547.49141616667,22396.48146325,-18151.00995291667,12,12,,,,,,,
volume_shares,2026-09-14,27096.066014307693,24908.09247253846,-2187.973541769232,13,13,,,,,,,
volume_shares,SUMMARY,,,,,,8,-4746.659820733976,-10026.021964927884,2595.0118717443906,0.2578125,7,exact paired sign-flip across week blocks; low power with 8 weeks
volume_usdc_estimate,2026-07-27,12345.9040920882,9447.023136503441,-2898.8809555847583,12,12,,,,,,,
volume_usdc_estimate,2026-08-03,11909.462667068492,9823.357221846298,-2086.1054452221942,13,13,,,,,,,
volume_usdc_estimate,2026-08-10,12859.532104646554,9448.214504729258,-3411.3175999172963,12,12,,,,,,,
volume_usdc_estimate,2026-08-17,17061.096984113385,11713.483591770457,-5347.613392342928,13,13,,,,,,,
volume_usdc_estimate,2026-08-24,12060.51388824921,11649.769028646117,-410.7448596030936,12,12,,,,,,,
volume_usdc_estimate,2026-08-31,12467.20992008173,20651.731504007592,8184.521583925862,13,13,,,,,,,
volume_usdc_estimate,2026-09-07,21911.554452372045,11432.594702189037,-10478.959750183009,12,12,,,,,,,
volume_usdc_estimate,2026-09-14,13744.200479230192,13331.832663831372,-412.3678153988203,13,13,,,,,,,
volume_usdc_estimate,SUMMARY,,,,,,8,-2492.4932004034763,-5401.361175495393,1508.8771466418702,0.28125,7,exact paired sign-flip across week blocks; low power with 8 weeks
median_trade_size,2026-07-27,9.053044,6.615612916666667,-2.4374310833333332,12,12,,,,,,,
median_trade_size,2026-08-03,7.737685730769231,8.901719115384616,1.1640333846153847,13,13,,,,,,,
median_trade_size,2026-08-10,8.960205125,8.064019583333334,-0.8961855416666662,12,12,,,,,,,
median_trade_size,2026-08-17,8.427061538461539,7.27704626923077,-1.150015269230769,13,13,,,,,,,
median_trade_size,2026-08-24,8.769302909090909,8.789294541666667,0.01999163257575809,11,12,,,,,,,
median_trade_size,2026-08-31,8.764856958333333,9.271138,0.5062810416666679,12,13,,,,,,,
median_trade_size,2026-09-07,9.075267708333334,11.380438625,2.3051709166666665,12,12,,,,,,,
median_trade_size,2026-09-14,10.853655230769231,9.627013583333333,-1.2266416474358977,13,12,,,,,,,
median_trade_size,SUMMARY,,,,,,8,-0.43809695454545405,-1.1478906009615384,0.7608210410110727,0.703125,4,exact paired sign-flip across week blocks; low power with 8 weeks
max_no_trade_interval_sec,2026-07-27,43.166666666666664,24.75,-18.416666666666664,12,12,,,,,,,
max_no_trade_interval_sec,2026-08-03,45.69230769230769,35.92307692307692,-9.769230769230774,13,13,,,,,,,
max_no_trade_interval_sec,2026-08-10,39.916666666666664,41.333333333333336,1.4166666666666714,12,12,,,,,,,
max_no_trade_interval_sec,2026-08-17,40.92307692307692,42.15384615384615,1.2307692307692335,13,13,,,,,,,
max_no_trade_interval_sec,2026-08-24,119.16666666666667,46.333333333333336,-72.83333333333334,12,12,,,,,,,
max_no_trade_interval_sec,2026-08-31,127.76923076923077,33.46153846153846,-94.30769230769232,13,13,,,,,,,
max_no_trade_interval_sec,2026-09-07,38.416666666666664,43.666666666666664,5.25,12,12,,,,,,,
max_no_trade_interval_sec,2026-09-14,36.07692307692308,110.23076923076923,74.15384615384615,13,13,,,,,,,
max_no_trade_interval_sec,SUMMARY,,,,,,8,-4.26923076923077,-46.68028846153847,18.51282051282051,0.375,4,exact paired sign-flip across week blocks; low power with 8 weeks
trade_print_realized_volatility,2026-07-27,2.3649813094542576,2.3717538721916984,0.006772562737440868,12,12,,,,,,,
trade_print_realized_volatility,2026-08-03,2.1234914181163864,2.2812673391100895,0.15777592099370308,13,13,,,,,,,
trade_print_realized_volatility,2026-08-10,1.2283711052915145,1.5199431063887254,0.29157200109721093,12,12,,,,,,,
trade_print_realized_volatility,2026-08-17,2.2027825580588205,1.298777839227429,-0.9040047188313916,13,13,,,,,,,
trade_print_realized_volatility,2026-08-24,1.9918965607351145,2.3996058788856915,0.4077093181505771,11,12,,,,,,,
trade_print_realized_volatility,2026-08-31,0.838595849131483,1.5424187120268122,0.7038228628953292,12,13,,,,,,,
trade_print_realized_volatility,2026-09-07,1.71664348175851,1.7906927380155968,0.07404925625708692,12,12,,,,,,,
trade_print_realized_volatility,2026-09-14,2.4269366899450144,1.5182289263971942,-0.9087077635478202,13,12,,,,,,,
trade_print_realized_volatility,SUMMARY,,,,,,8,0.115912588625395,-0.42309471334364757,0.3332022713327031,0.9375,2,exact paired sign-flip across week blocks; low power with 8 weeks
