slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,observation_sec,threshold_bps,trend_bps,side,signal_ts,entry_delay_sec,execution_model,slippage_cents,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl,zero_fee_net_pnl,shares
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,first_trade,0,0.49,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.408163265306122
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,first_trade,0.01,0.5,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.0
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,first_trade,0.02,0.51,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,19.607843137254903
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0,0.49,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.408163265306122
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0.01,0.5,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.0
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0.02,0.51,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,19.607843137254903
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_10s,0,0.43371233580397833,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.05675715094169
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_10s,0.01,0.44371233580397834,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.537124152477393
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,0,vwap_10s,0.02,0.45371233580397835,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.040396989162744
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,first_trade,0,0.46,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,21.73913043478261
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,first_trade,0.01,0.47000000000000003,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,21.27659574468085
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,first_trade,0.02,0.48000000000000004,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.833333333333332
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_5s,0,0.43368802951973956,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.058049379582528
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_5s,0.01,0.44368802951973957,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.538358789675442
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_5s,0.02,0.4536880295197396,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.041577800908033
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_10s,0,0.4326059813787271,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.115722922114315
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_10s,0.01,0.4426059813787271,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.59345878889794
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,5,vwap_10s,0.02,0.4526059813787271,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.094272748093225
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,first_trade,0,0.42,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.80952380952381
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,first_trade,0.01,0.43,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.25581395348837
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,first_trade,0.02,0.44,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.727272727272727
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_5s,0,0.43126082688795286,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.187823647609267
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_5s,0.01,0.4412608268879529,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.66233345598849
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_5s,0.02,0.4512608268879529,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.16013312957692
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_10s,0,0.43126082688795286,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.187823647609267
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_10s,0.01,0.4412608268879529,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.66233345598849
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,0,-2.25935948840017,DOWN,1785135660,10,vwap_10s,0.02,0.4512608268879529,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,22.16013312957692
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,first_trade,0,0.49,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.408163265306122
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,first_trade,0.01,0.5,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.0
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,first_trade,0.02,0.51,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,19.607843137254903
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0,0.49,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.408163265306122
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0.01,0.5,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,20.0
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,vwap_5s,0.02,0.51,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,19.607843137254903
btc-updown-15m-1785135600,2026-07-27,2026-07-27,weekday,00-06,UP,btc_open_to_observation,60,2,-2.25935948840017,DOWN,1785135660,0,vwap_10s,0,0.43371233580397833,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,23.05675715094169
