observation_sec,threshold_bps,drawdown,partition
60,0,66.58756017839457,all
60,2,42.57892003702758,all
60,5,21.870967741935488,all
60,10,26.390810432056256,all
60,15,10.1,all
60,20,0.0,all
120,0,49.266210886032695,all
120,2,33.973611435139404,all
120,5,29.479844830277628,all
120,10,63.72884248350374,all
120,15,25.85185827423973,all
120,20,10.1,all
180,0,56.867924631178994,all
180,2,39.260859523525085,all
180,5,37.65796868995036,all
180,10,51.98355741691161,all
180,15,20.2,all
180,20,20.2,all
240,0,61.44254708865935,all
240,2,43.85915266426783,all
240,5,37.937774908292724,all
240,10,40.983664575382136,all
240,15,34.33711033253702,all
240,20,10.1,all
300,0,116.57731088127836,all
300,2,112.02606456322226,all
300,5,58.47765777160976,all
300,10,54.605363865596885,all
300,15,10.1,all
300,20,0.0,all
