market_slug,weekend_et,weekend_utc,entry_edge_samples,local_quote_samples,fill_markout_samples,spread,quote_age_sec,depth_1c,depth_2c,depth_5c,top_bid_size_median,top_ask_size_median,quote_update_rate,depth_source,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits
btc-updown-15m-1788781500,False,False,170,277,0,0.01,1.0838374000000002,,,,117.0,114.0,0.389245026777068,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.375275088938529,3,340,0,0,0,0,0,0
btc-updown-15m-1788782400,False,False,182,326,0,0.01,1.0528670999999998,,,,125.0,125.0,0.3948763253727704,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5321171506577315,3,364,0,0,0,0,0,0
btc-updown-15m-1788783300,False,False,145,206,0,0.01,1.035134,,,,179.74,177.0,0.3954434375974419,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.6025730123272938,3,290,0,0,0,0,0,0
btc-updown-15m-1788784200,False,False,205,350,0,0.01,1.1737382,,,,180.5,178.66,0.3885953491458897,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.32246008107884505,3,410,0,0,0,0,0,0
btc-updown-15m-1788785100,False,False,218,357,0,0.01,1.1435029499999998,,,,198.35,192.94,0.3963526824548339,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.4827521303880202,3,436,0,0,0,0,0,0
btc-updown-15m-1788786000,False,False,224,355,0,0.01,1.0385799,,,,192.45,183.6,0.3944135672348697,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5712314883759412,3,448,0,0,0,0,0,0
btc-updown-15m-1788786900,False,False,80,282,0,0.01,1.0480814999999999,,,,165.0,165.0,0.35980355043695184,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.3422685529908166,3,160,0,0,0,0,0,0
btc-updown-15m-1788787800,False,False,0,46,0,,,,,,151.935,151.935,0.3978892488185209,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,,1,0,0,0,0,0,0,0
btc-updown-15m-1788788700,False,False,173,311,0,0.01,1.047434,,,,107.0,113.93,0.39285320785294353,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.5081720029784066,3,346,0,0,0,0,0,0
btc-updown-15m-1788789600,False,False,226,351,0,0.01,1.067349,,,,200.53,206.19,0.39067785487675016,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2",,,0.42591834202035245,3,452,0,0,0,0,0,0
