market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message
btc-updown-15m-1788781500,0x0627acd22c825c8a37d6df2c5efba557b817f6ddfc65d3163fef231bf1a8a14e,"[""103785453979224315208500391029349537549176334887175366095276329785453943694621""]",LOCAL_INSTRUMENT_ID,dns_error,failed,0,0,0,dns_error,https://data-api.polymarket.com/v2/trades,failed,0,dns_error,https://data-api.polymarket.com/v2/prices-history,dns_error,https://gamma-api.polymarket.com/markets/slug/btc-updown-15m-1788781500,True,FAILED_PUBLIC_HISTORY,dns_error,gamma_lookup,https://gamma-api.polymarket.com/markets/slug/btc-updown-15m-1788781500,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
btc-updown-15m-1788782400,0x76b4adc6613366a9d3598bccce6afc7d7ac20bad166c73fff212c83c599abfc6,"[""12078582343777313846910549240188687924473898548521096740438749848732663853325"", ""86466700819012815208283383240655972600643152534198203577057015552772057626788""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788782400-b737976636.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788783300,0x8127b0d007e319a084c3e163700e6e55bb8eb6936cb4a15d26558fce913ae904,"[""74693646024854166083386458864682607649620217324184985466219010034330446851946""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788783300-de5de7b642.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788784200,0x0c712706cbe5ab94e9a5be8e34abf289e2861a683ec51ea5a2153daf2734935b,"[""30056874158677066721126483674927248093633629538868409317066363822764194564760"", ""48144840406039134731625999788897451578444864865712988463346237767924663480348""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788784200-ebd7674212.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788785100,0xd621f0621ceff272a5e4544bc3b6f37edf86817ff6b1c8a72af4e80fa790fc7c,"[""12556587961371672890486899159886180448987097598662561669584143165444622963062""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788785100-54580634d8.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788786000,0x97d5ad1390fa6fa091549e6fbee2dc3a9c5815d5d2a76e5e4f0eee7c0f16f53d,"[""105498557767503095963993524318017693563347288013133695443456422978554457189841"", ""71235046846136431655093756540422916818533680541392113535181929494649649401574""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788786000-eef6f62b85.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788786900,0x292164d4303ed2c7f5f1eed01f543b88ee0f74b65e7da99cebd9d0c2919629ce,"[""38776263870699727385388918022585826796143717231940123128884979505348238255457"", ""73805579309456200213625487137880592001320695571754495582897649027841773510440""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788786900-3108f5fce1.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788787800,0xcfc7b0503853c97ab68686bc6e5c183ca429b33d40a3cc050cbdf422a3ede807,"[""3778196242807677282135111735797794022161655532125901195979292700267068755213""]",LOCAL_INSTRUMENT_ID,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788787800-2ea2baa4e7.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788788700,0x0dd65e3b25a4214ddbfbad267beb55197d863e2f417c6790e6a984c1acb9f93c,"[""48583495052708205420803943214436424922450202946909738799626184460731102454445"", ""92041041904166197909696677685961136648824864766276807760307543484082038438855""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788788700-8498cbb39f.json,offline mode: no reusable structured cache entry
btc-updown-15m-1788789600,0x8c398136866dadbe3ea10864bc61c5a268acea951eac2fc201e7620c4b739ae7,"[""16149526368722805202764346135702388506263118789738670165514195305832397325429"", ""74485414799285445176319515414107553771460489042804936134192059477824293685235""]",LOCAL_JOURNAL,not_fetched,not_fetched,,,,,,not_fetched,,,,,,False,NOT_FETCHED,not_fetched_offline,cache_lookup,data/polymarket_history/btc-updown-15m-1788789600-5cb5df84ce.json,offline mode: no reusable structured cache entry
