metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,America/New_York,0,0,,,,,,,,,,True
public_volume_shares,America/New_York,0,0,,,,,,,,,,True
median_trade_size,America/New_York,0,0,,,,,,,,,,True
max_no_trade_interval_sec,America/New_York,0,0,,,,,,,,,,True
realized_volatility,America/New_York,0,0,,,,,,,,,,True
spread,America/New_York,396,0,0.009906565656565657,,,,,,,0.01,,True
quote_age_sec,America/New_York,396,0,1.1397145555555555,,,,,,,1.0367775,,True
depth_5c,America/New_York,58,0,262.9898275862069,,,,,,,239.2125,,True
entry_slippage,America/New_York,56,0,-0.019107142857142857,,,,,,,-0.010000000000000009,,True
exit_slippage,America/New_York,45,0,0.021988218399636675,,,,,,,0.0,,True
fill_rate,America/New_York,101,0,0.9928596035206759,,,,,,,1.0,,True
submit_to_fill_sec,America/New_York,92,0,108.08197156521739,,,,,,,6.6421795,,True
pnl,America/New_York,50,0,0.2292893186655441,,,,,,,0.49775364,,True
hold_sec,America/New_York,45,0,286.87341697777777,,,,,,,255.726129,,True
order_fill_probability,America/New_York,197,0,0.467005076142132,,,,,,,,,True
partial_fill_probability,America/New_York,197,0,0.1319796954314721,,,,,,,,,True
cancel_probability,America/New_York,197,0,0.30456852791878175,,,,,,,,,True
cancel_latency_sec,America/New_York,60,0,62.231619216666665,,,,,,,,,True
