metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,UTC,0,0,,,,,,,,,,True
public_volume_shares,UTC,0,0,,,,,,,,,,True
median_trade_size,UTC,0,0,,,,,,,,,,True
max_no_trade_interval_sec,UTC,0,0,,,,,,,,,,True
realized_volatility,UTC,0,0,,,,,,,,,,True
spread,UTC,396,0,0.009906565656565657,,,,,,,0.01,,True
quote_age_sec,UTC,396,0,1.1397145555555555,,,,,,,1.0367775,,True
depth_5c,UTC,58,0,262.9898275862069,,,,,,,239.2125,,True
entry_slippage,UTC,56,0,-0.019107142857142857,,,,,,,-0.010000000000000009,,True
exit_slippage,UTC,45,0,0.021988218399636675,,,,,,,0.0,,True
fill_rate,UTC,101,0,0.9928596035206759,,,,,,,1.0,,True
submit_to_fill_sec,UTC,92,0,108.08197156521739,,,,,,,6.6421795,,True
pnl,UTC,50,0,0.2292893186655441,,,,,,,0.49775364,,True
hold_sec,UTC,45,0,286.87341697777777,,,,,,,255.726129,,True
order_fill_probability,UTC,197,0,0.467005076142132,,,,,,,,,True
partial_fill_probability,UTC,197,0,0.1319796954314721,,,,,,,,,True
cancel_probability,UTC,197,0,0.30456852791878175,,,,,,,,,True
cancel_latency_sec,UTC,60,0,62.231619216666665,,,,,,,,,True
