market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785135600,False,False,SUCCESS_PUBLIC_HISTORY,1297,28356.335429,13744.754135047297,10.0,1.8837135999999999,44.0,15.0,1.441111111111111,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.441111111111111,28356.335429,,2,1785135600,weekday,2026-07-27,2026-09-20,2026-07-27,3,00-06,0,,,,,,
btc-updown-15m-1785243600,False,False,SUCCESS_PUBLIC_HISTORY,957,27062.055302,15295.82755903243,9.090908,1.7675000000000007,50.0,21.0,1.0633333333333332,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0633333333333332,27062.055302,,2,1785243600,weekday,2026-07-27,2026-09-20,2026-07-28,9,06-12,0,,,,,,
btc-updown-15m-1785351600,False,False,SUCCESS_PUBLIC_HISTORY,804,16609.269912,9338.201451068628,6.4072215,0.02,42.69677240000002,24.0,0.8933333333333333,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8933333333333333,16609.269912,,2,1785351600,weekday,2026-07-27,2026-09-20,2026-07-29,15,12-18,0,,,,,,
btc-updown-15m-1785373200,False,False,SUCCESS_PUBLIC_HISTORY,886,21866.700352,12343.93279099252,9.045454,1.28205,50.955200000000005,24.0,0.9844444444444445,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9844444444444445,21866.700352,,2,1785373200,weekday,2026-07-27,2026-09-20,2026-07-29,21,18-24,0,,,,,,
btc-updown-15m-1785459600,False,False,SUCCESS_PUBLIC_HISTORY,464,34116.96792,18776.554917009013,10.407608499999998,1.0204,102.43973619999997,162.0,0.5155555555555555,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5155555555555555,34116.96792,,2,1785459600,weekday,2026-07-27,2026-09-20,2026-07-30,21,18-24,0,,,,,,
btc-updown-15m-1785481200,False,False,SUCCESS_PUBLIC_HISTORY,782,17995.73827,9961.264791940419,10.0,1.2710000000000001,50.0,64.0,0.8688888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8688888888888889,17995.73827,,2,1785481200,weekday,2026-07-27,2026-09-20,2026-07-31,3,00-06,0,,,,,,
btc-updown-15m-1785567600,True,True,SUCCESS_PUBLIC_HISTORY,507,10404.422724,5519.518586000121,7.07,2.0,47.38973500000001,21.0,0.5633333333333334,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.5633333333333334,10404.422724,,2,1785567600,weekend,2026-07-27,2026-09-20,2026-08-01,3,00-06,0,,,,,,
btc-updown-15m-1785589200,True,True,SUCCESS_PUBLIC_HISTORY,977,20495.629756,10743.684731000287,8.0,2.0,50.0,15.0,1.0855555555555556,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0855555555555556,20495.629756,,2,1785589200,weekend,2026-07-27,2026-09-20,2026-08-01,9,06-12,0,,,,,,
btc-updown-15m-1785610800,True,True,SUCCESS_PUBLIC_HISTORY,1272,21521.729254,11054.270632865566,6.0,1.5406140000000001,28.0,13.0,1.4133333333333333,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.4133333333333333,21521.729254,,2,1785610800,weekend,2026-07-27,2026-09-20,2026-08-01,15,12-18,0,,,,,,
btc-updown-15m-1785675600,True,True,SUCCESS_PUBLIC_HISTORY,772,13464.494222,7698.129069981599,6.053105,2.0,39.534393800000004,24.0,0.8577777777777778,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8577777777777778,13464.494222,,2,1785675600,weekend,2026-07-27,2026-09-20,2026-08-02,9,06-12,0,,,,,,
btc-updown-15m-1785697200,True,True,SUCCESS_PUBLIC_HISTORY,780,13678.475484,7287.160411001382,7.0,2.0,33.06640250000002,18.0,0.8666666666666667,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8666666666666667,13678.475484,,2,1785697200,weekend,2026-07-27,2026-09-20,2026-08-02,15,12-18,0,,,,,,
