market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message,market_start_epoch,sample_group,weekend_et,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index
btc-updown-15m-1785135600,0x9798deb8ade63800c9c1a82be480053a1666033e1eae0788c39d7bbd1b5ab303,"[""25629757613835111152852874875126254161378121178654599987122704370782862063718"", ""66239469992374493499267170924742274300869984866180225636209795401471281569240""]",GAMMA,success,success,1359,1297,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785135600,weekday,False,2026-07-27,2026-09-20,2026-07-27,3,00-06,0
btc-updown-15m-1785243600,0x05192d5d254565e0d7d55a9459b291d4f3b915f74c87612578ed6c884e5874cf,"[""21739911953937608137579901623458914934207125632142381430717978765530564685234"", ""66228971622458158469315003371093097931798138367642998056511493369455284476149""]",GAMMA,success,success,1010,957,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785243600,weekday,False,2026-07-27,2026-09-20,2026-07-28,9,06-12,0
btc-updown-15m-1785351600,0x2ce667a6da5d34f70d2cf54af47747a747ec999a57cc06fe830528bc1fb1c401,"[""67369589048070507430604772472013235830845748961809170268102573674043552490833"", ""93869486680364962530311068789025943164373793272666737513379215294576597374095""]",GAMMA,success,success,837,804,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785351600,weekday,False,2026-07-27,2026-09-20,2026-07-29,15,12-18,0
btc-updown-15m-1785373200,0xe323ff2ddd57bae6e137aab9e53b064570e390913b3edc3e135543ee6e8817e1,"[""45434853057770987312629722941584270367104312922289896196014375583240454027098"", ""58971100885431207485232984224043624850098507972940066600654233102393252650957""]",GAMMA,success,success,932,886,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785373200,weekday,False,2026-07-27,2026-09-20,2026-07-29,21,18-24,0
btc-updown-15m-1785459600,0xedf35e9c658bf56376e6a8b185e8ea1c3689409cca60f141d13619ae975d5fee,"[""62734206157898537259671474113488905343791020939425745087374611419794096815291"", ""86551950572013460917075869783593648314353862051641432054514178506332568509720""]",GAMMA,success,success,488,464,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785459600,weekday,False,2026-07-27,2026-09-20,2026-07-30,21,18-24,0
btc-updown-15m-1785481200,0xd5d1b1d48f65bb393bbeb88a6491436110b9feef331df8013bef607a1897e2ff,"[""101923030786718085879276376849607742902332499098368960700820776180596975990388"", ""82121043018279731048136387969191741592950119166091598143806102821480260994289""]",GAMMA,success,success,859,782,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785481200,weekday,False,2026-07-27,2026-09-20,2026-07-31,3,00-06,0
btc-updown-15m-1785567600,0x8bfceb6c306c7340a0ff939b997176eb63121809055237bafa7b203be2439d81,"[""112017441834080885706255515907037594903948192109994242886463289561296387922702"", ""5200298547071674461041476187417703818099677912507197765022148632857912836770""]",GAMMA,success,success,553,507,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785567600,weekend,True,2026-07-27,2026-09-20,2026-08-01,3,00-06,0
btc-updown-15m-1785589200,0x9158cc79866455522d1a4684eda82e7a0efdf333c5d102f74cc88a5b68600046,"[""14579216910871810012669703793932962125194930569938086409291090285358839782753"", ""91239025180643504196984315059087130184877095045015663248846427090207003455962""]",GAMMA,success,success,1063,977,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785589200,weekend,True,2026-07-27,2026-09-20,2026-08-01,9,06-12,0
btc-updown-15m-1785610800,0x0f03d18d40afc6ca2bd3fdec6028243ec40982b44cbddc2d4e3c5c303525e225,"[""49028118703187530840756478107632649833464570152959068756307568915739559702759"", ""77455990544904538745063662317694406352579365610624396514824005404376198839937""]",GAMMA,success,success,1317,1272,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785610800,weekend,True,2026-07-27,2026-09-20,2026-08-01,15,12-18,0
btc-updown-15m-1785675600,0xd16f41737ac00883a535e21f73ffd6e6b2ad70fb95e9e15c2f61994a8135d2db,"[""16889329316460286547222637192795972679706449723117285629773062348113030226293"", ""74134760782338352243389114767158615937100502678605466846102336191347051311767""]",GAMMA,success,success,812,772,0,,,empty,0,price_history_empty,https://data-api.polymarket.com/v2/prices-history,,,True,SUCCESS_PUBLIC_HISTORY,price_history_empty,price_fetch,https://data-api.polymarket.com/v2/prices-history,API succeeded but returned no in-window price points,1785675600,weekend,True,2026-07-27,2026-09-20,2026-08-02,9,06-12,0
