weekend_et,resolution_bin,observations,mean_public_trade_size,mean_local_spread
False,T-10m_to_T-5m,29331,23.8861699789654,0.010286712812160696
False,T-15m_to_T-10m,26721,21.976399811940297,0.010156704026567041
False,T-15s_to_settlement,697,65.32926661685823,0.004064220183486239
False,T-2m_to_T-1m,5577,40.635287856358644,0.008963446475195822
False,T-30s_to_T-15s,1021,59.74687970066889,0.005021276595744681
False,T-5m_to_T-2m,19017,33.80313959797454,0.00981996607705355
False,T-60s_to_T-30s,2243,67.36238752783964,0.006887276785714286
True,T-10m_to_T-5m,13373,25.169757411276453,
True,T-15m_to_T-10m,13231,24.058317100219185,
True,T-15s_to_settlement,914,36.58056454376368,
True,T-2m_to_T-1m,3147,38.88150526310772,
True,T-30s_to_T-15s,679,46.882539874815905,
True,T-5m_to_T-2m,8432,29.887966543643262,
True,T-60s_to_T-30s,1586,35.88867927301387,
