metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,America/New_York,50,50,958.56,827.24,-131.31999999999994,-13.699716241028204,"[-313.1274999999999, 65.9889999999999]",0.18940529735132433,-0.266,882.0,756.0,False
public_volume_shares,America/New_York,50,50,27293.36901304,23029.47032536,-4263.898687680001,-15.622471105134844,"[-11786.1123442535, 4610.3884464369985]",0.3378310844577711,-0.3504,23020.0011025,18480.9936145,False
median_trade_size,America/New_York,50,50,8.829372620000001,8.5315616,-0.29781102000000104,-3.3729578852002398,"[-0.9375192724999994, 0.3775524944999997]",0.3893053473263368,-0.074,9.022727,8.465,False
max_no_trade_interval_sec,America/New_York,50,50,54.42,52.12,-2.3000000000000043,-4.22638735758913,"[-36.733, 32.71349999999996]",0.8270864567716142,0.0076,32.0,38.0,False
realized_volatility,America/New_York,41,44,0.6223492085790557,0.6516245701977378,0.02927536161868205,4.704008812917653,"[-0.07586138795696866, 0.13174398774210705]",0.5952023988005997,0.06319290465631928,0.5502726596879042,0.59410208597911,False
spread,America/New_York,223,0,0.00998206278026906,,,,,,,0.01,,True
quote_age_sec,America/New_York,223,0,1.2156374683856501,,,,,,,1.0528670999999998,,True
depth_5c,America/New_York,33,0,221.42333333333335,,,,,,,234.29500000000002,,True
entry_slippage,America/New_York,31,0,-0.025483870967741937,,,,,,,-0.020000000000000018,,True
exit_slippage,America/New_York,28,0,0.03426677957084466,,,,,,,0.0,,True
fill_rate,America/New_York,59,0,0.9954882075182692,,,,,,,1.0,,True
submit_to_fill_sec,America/New_York,52,0,135.78634665384615,,,,,,,4.585163,,True
pnl,America/New_York,32,0,0.19088567496763026,,,,,,,0.673949295,,True
hold_sec,America/New_York,28,0,346.87474271428573,,,,,,,340.3129325,,True
order_fill_probability,America/New_York,89,0,0.5842696629213483,,,,,,,,,True
partial_fill_probability,America/New_York,89,0,0.1348314606741573,,,,,,,,,True
cancel_probability,America/New_York,89,0,0.21348314606741572,,,,,,,,,True
cancel_latency_sec,America/New_York,19,0,138.11083,,,,,,,,,True
