metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,UTC,54,46,923.5925925925926,856.8695652173913,-66.72302737520135,-7.2242921727971945,"[-248.76710950080508, 139.43951288244756]",0.5262368815592204,-0.23268921095008052,874.0,710.5,False
public_volume_shares,UTC,54,46,26038.476827074075,24131.830831695654,-1906.6459953784215,-7.32241754400912,"[-8758.229093787279, 7031.297816327574]",0.6766616691654173,-0.2826086956521739,22770.577396499997,19008.695713499998,False
median_trade_size,UTC,54,46,8.728477398148149,8.624107206521739,-0.10437019162641015,-1.195743391035801,"[-0.7342294013989535, 0.5128553144524944]",0.750624687656172,-0.017713365539452495,9.0,8.545344,False
max_no_trade_interval_sec,UTC,54,46,66.42592592592592,37.82608695652174,-28.599838969404182,-43.055235694112795,"[-64.65863526570048, -2.900140901771338]",0.08945527236381809,-0.13808373590982287,38.5,35.0,False
realized_volatility,UTC,44,41,0.6282186718454627,0.6474677336400338,0.0192490617945712,3.064070308197769,"[-0.08487654820641996, 0.12276256059657134]",0.7511244377811095,0.057649667405764965,0.5543539868787464,0.5918192291570121,False
spread,UTC,223,0,0.00998206278026906,,,,,,,0.01,,True
quote_age_sec,UTC,223,0,1.2156374683856501,,,,,,,1.0528670999999998,,True
depth_5c,UTC,33,0,221.42333333333335,,,,,,,234.29500000000002,,True
entry_slippage,UTC,31,0,-0.025483870967741937,,,,,,,-0.020000000000000018,,True
exit_slippage,UTC,28,0,0.03426677957084466,,,,,,,0.0,,True
fill_rate,UTC,59,0,0.9954882075182692,,,,,,,1.0,,True
submit_to_fill_sec,UTC,52,0,135.78634665384615,,,,,,,4.585163,,True
pnl,UTC,32,0,0.19088567496763026,,,,,,,0.673949295,,True
hold_sec,UTC,28,0,346.87474271428573,,,,,,,340.3129325,,True
order_fill_probability,UTC,89,0,0.5842696629213483,,,,,,,,,True
partial_fill_probability,UTC,89,0,0.1348314606741573,,,,,,,,,True
cancel_probability,UTC,89,0,0.21348314606741572,,,,,,,,,True
cancel_latency_sec,UTC,19,0,138.11083,,,,,,,,,True
