market_slug,weekend_et,liquidity_score,liquidity_regime,closed_trade_count,realized_pnl,pnl_source
btc-updown-15m-1788781500,False,0.3918236418236418,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788782400,False,0.5547463047463047,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788783300,False,0.6485803985803985,high,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788784200,False,0.31409656409656406,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788785100,False,0.4716762216762217,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788786000,False,0.6047638547638547,high,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788786900,False,0.38252213252213246,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788788700,False,0.5327112827112828,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788789600,False,0.4408466908466908,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788790500,False,0.45679770679770676,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788791400,False,0.4491341991341991,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788794100,False,0.5817343317343318,high,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788795000,False,0.46613821613821615,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788795900,False,0.5308587808587808,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788796800,False,0.4767072267072267,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788797700,False,0.27655902655902653,low,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
btc-updown-15m-1788798600,False,0.5324577824577824,medium,0,,LOCAL_RECORDED sell fills; settlement PnL may be absent
