market_slug,weekend_et,weekend_utc,public_status,public_trade_count,public_volume_shares,public_volume_usdc_estimate,median_trade_size,p10_trade_size,p90_trade_size,max_no_trade_interval_sec,trade_frequency_per_sec,price_history_points,realized_volatility,price_jump_count_gt_5c,historical_spread,historical_l2_depth,price_history_source,signal_observations,entry_attempts,submitted_orders,filled_orders,cancelled_orders,stop_loss_exits,emergency_exits,spread,depth_1c,depth_2c,depth_5c,quote_age_sec,quote_update_rate,trade_frequency,recent_volume,liquidity_score,liquidity_score_feature_count,market_start_epoch,sample_group,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index,entry_edge_samples,local_quote_samples,fill_markout_samples,top_bid_size_median,top_ask_size_median,depth_source
btc-updown-15m-1785481200,False,False,SUCCESS_PUBLIC_HISTORY,782,17995.73827,9961.264791940419,10.0,1.2710000000000001,50.0,64.0,0.8688888888888889,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.8688888888888889,17995.73827,,2,1785481200,weekday,2026-07-27,2026-09-20,2026-07-31,3,00-06,0,,,,,,
btc-updown-15m-1785654000,True,True,SUCCESS_PUBLIC_HISTORY,981,26541.876794,13182.23089009868,10.0,2.083332,50.0,24.0,1.09,0,,0,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.09,26541.876794,,2,1785654000,weekend,2026-07-27,2026-09-20,2026-08-02,3,00-06,0,,,,,,
btc-updown-15m-1786539600,False,False,SUCCESS_PUBLIC_HISTORY,946,23069.272379,11913.898478066976,5.822916,1.0,55.96,53.0,1.051111111111111,8,0.5846793993292392,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.051111111111111,23069.272379,,2,1786539600,weekday,2026-07-27,2026-09-20,2026-08-12,9,06-12,2,,,,,,
btc-updown-15m-1786798800,True,True,SUCCESS_PUBLIC_HISTORY,985,25819.154163,12742.601501974166,7.38,1.4451414000000002,59.88000000000001,21.0,1.0944444444444446,8,0.8267103483082814,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.0944444444444446,25819.154163,,2,1786798800,weekend,2026-07-27,2026-09-20,2026-08-15,9,06-12,2,,,,,,
btc-updown-15m-1787598000,False,False,SUCCESS_PUBLIC_HISTORY,1319,33815.593704,18990.30232596308,9.0,1.0160000000000002,47.400000000000084,21.0,1.4655555555555555,8,0.8616553835495951,4,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.4655555555555555,33815.593704,,2,1787598000,weekday,2026-07-27,2026-09-20,2026-08-24,15,12-18,4,,,,,,
btc-updown-15m-1788030000,True,True,SUCCESS_PUBLIC_HISTORY,585,18562.73304,8321.227183979448,7.5,2.0,55.60000000000002,27.0,0.65,8,0.5032395056034453,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.65,18562.73304,,2,1788030000,weekend,2026-07-27,2026-09-20,2026-08-29,15,12-18,4,,,,,,
btc-updown-15m-1788483600,False,False,SUCCESS_PUBLIC_HISTORY,1674,40751.585389,19873.710339001285,10.0,1.6108706000000002,60.0,13.0,1.86,8,1.2498199870381335,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,1.86,40751.585389,,2,1788483600,weekday,2026-07-27,2026-09-20,2026-09-03,21,18-24,5,,,,,,
btc-updown-15m-1788742800,True,False,SUCCESS_PUBLIC_HISTORY,867,22493.931586,14697.140487063341,8.210525,0.02,49.0,63.0,0.9633333333333334,8,1.0963119993870358,6,,,PUBLIC_HISTORICAL,0,0,0,0,0,0,0,,,,,,,0.9633333333333334,22493.931586,,2,1788742800,weekend,2026-07-27,2026-09-20,2026-09-06,21,18-24,5,,,,,,
btc-updown-15m-1788781500,False,False,,,,,,,,,,,,,,,,340,0,0,0,0,0,0,0.01,,,,1.0838374000000002,0.389245026777068,,,0.3918236418236418,3,,,,,,,,,170,277,0,117.0,114.0,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
btc-updown-15m-1788782400,False,False,,,,,,,,,,,,,,,,364,0,0,0,0,0,0,0.01,,,,1.0528670999999998,0.3948763253727704,,,0.5547463047463047,3,,,,,,,,,182,326,0,125.0,125.0,"LOCAL_RECORDED, fill-conditioned marks; not historical full L2"
