weekend_et,resolution_bin,observations,mean_public_trade_size,mean_local_spread
False,T-10m_to_T-5m,16699,24.420904376464595,0.010286712812160696
False,T-15m_to_T-10m,11402,17.00874133975085,0.010156704026567041
False,T-15s_to_settlement,439,151.78333333333333,0.004064220183486239
False,T-2m_to_T-1m,2643,48.94652128985508,0.008963446475195822
False,T-30s_to_T-15s,452,81.12177927586207,0.005021276595744681
False,T-5m_to_T-2m,9236,28.999724031568228,0.00981996607705355
False,T-60s_to_T-30s,1416,34.63515547307693,0.006887276785714286
True,T-10m_to_T-5m,1228,22.75789874674267,
True,T-15m_to_T-10m,1359,23.426505106696098,
True,T-15s_to_settlement,93,36.611296720430104,
True,T-2m_to_T-1m,155,49.06227774193548,
True,T-30s_to_T-15s,23,16.04302086956522,
True,T-5m_to_T-2m,906,36.17479315231788,
True,T-60s_to_T-30s,27,41.997319000000005,
