metric,timezone,weekday_n,weekend_n,weekday_mean,weekend_mean,difference,relative_difference_pct,bootstrap_ci95,permutation_p,cliffs_delta,weekday_median,weekend_median,sample_warning
public_trade_count,UTC,6,4,1079.1666666666667,731.0,-348.16666666666674,-32.26254826254827,"[-734.6791666666668, -20.83333333333337]",0.14992503748125938,-0.3333333333333333,916.5,783.0,True
public_volume_shares,UTC,6,4,27775.340895333335,20644.04296225,-7131.297933083333,-25.674924962960567,"[-16307.5198160875, 618.5583675437517]",0.2223888055972014,-0.4166666666666667,25797.5982115,22190.9436015,True
median_trade_size,UTC,6,4,9.3405735,8.72,-0.620573499999999,-6.643847939315493,"[-2.6712359999999995, 1.6302086666666664]",0.6896551724137931,-0.16666666666666666,9.5,8.75,True
max_no_trade_interval_sec,UTC,6,4,38.166666666666664,32.25,-5.916666666666664,-15.50218340611353,"[-28.002083333333335, 18.256249999999994]",0.768615692153923,0.041666666666666664,37.0,25.5,True
realized_volatility,UTC,5,3,0.9048490848726063,0.5397476526245937,-0.3651014322480126,-40.34942824740938,"[-0.6772686312385339, -0.06132393744774469]",0.1294352823588206,-0.7333333333333333,0.8616553835495951,0.5032395056034453,True
spread,UTC,223,0,0.00998206278026906,,,,,,,0.01,,True
quote_age_sec,UTC,223,0,1.2156374683856501,,,,,,,1.0528670999999998,,True
depth_5c,UTC,33,0,221.42333333333335,,,,,,,234.29500000000002,,True
entry_slippage,UTC,31,0,-0.025483870967741937,,,,,,,-0.020000000000000018,,True
exit_slippage,UTC,28,0,0.03426677957084466,,,,,,,0.0,,True
fill_rate,UTC,59,0,0.9954882075182692,,,,,,,1.0,,True
submit_to_fill_sec,UTC,52,0,135.78634665384615,,,,,,,4.585163,,True
pnl,UTC,32,0,0.19088567496763026,,,,,,,0.673949295,,True
hold_sec,UTC,28,0,346.87474271428573,,,,,,,340.3129325,,True
order_fill_probability,UTC,89,0,0.5842696629213483,,,,,,,,,True
partial_fill_probability,UTC,89,0,0.1348314606741573,,,,,,,,,True
cancel_probability,UTC,89,0,0.21348314606741572,,,,,,,,,True
cancel_latency_sec,UTC,19,0,138.11083,,,,,,,,,True
